station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,14,11,11
2,8,11,11
3,7,10,10
4,7,10,9
5,7,11,11
6,7,10,9
7,5,9,5
8,7,11,11
9,12,9,12
10,7,11,11
11,11,8,7
12,13,10,10
13,6,9,6
14,6,9,6
15,14,10,10
16,13,9,9
17,7,11,11
18,14,10,10
19,15,11,15
20,12,9,9
21,5,8,8
22,5,9,9
23,16,13,13
24,11,8,9
25,5,8,5
26,13,9,9
27,8,13,13
28,8,12,12
29,7,10,10
30,14,11,11
31,6,9,9
32,7,12,12
33,14,10,10
34,8,13,13
35,11,8,11
36,5,8,5
37,18,13,13
38,11,8,8
39,13,9,9
40,14,11,11
41,6,9,9
42,6,9,9
43,20,15,15
44,16,12,12
45,18,13,13
46,11,8,11
47,15,11,14
48,7,11,11
49,14,10,10
50,6,11,11
