vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,30,20,3,0,0,3,335.944918232034,180.0,11
0,2,30,20,27,3,0,3,6,358.3180258591896,180.0,9
0,3,20,27,23,0,5,6,1,675.2837175011942,300.0,13
0,4,27,23,28,3,0,1,4,161.10864866226817,180.0,13
0,5,23,28,0,0,4,4,0,224.1456395596781,240.0,12
1,1,0,49,43,4,0,0,4,1049.7903232324882,240.0,10
1,2,49,43,34,5,0,4,9,249.52726493025503,300.0,15
1,3,43,34,17,0,5,9,4,208.4596932221892,300.0,13
1,4,34,17,0,0,4,4,0,698.4498983807988,240.0,11
2,1,0,24,40,2,0,0,2,140.28331098032405,120.0,9
2,2,24,40,50,3,0,2,5,412.9237830263676,180.0,11
2,3,40,50,44,0,5,5,0,204.83508222531904,300.0,11
2,4,50,44,42,4,0,0,4,142.81073508509579,240.0,12
2,5,44,42,39,0,3,4,1,272.4968884674702,180.0,9
2,6,42,39,32,4,0,1,5,198.73075277878513,240.0,9
2,7,39,32,0,0,5,5,0,142.35457834431418,300.0,12
3,1,0,18,12,4,0,0,4,193.07087049963334,240.0,10
3,2,18,12,4,3,0,4,7,483.75379911753106,180.0,10
3,3,12,4,3,0,2,7,5,325.84216104015206,120.0,9
3,4,4,3,1,0,3,5,2,113.9771994392709,180.0,10
3,5,3,1,2,3,0,2,5,223.9160488844201,180.0,11
3,6,1,2,6,0,3,5,2,182.41474297751725,180.0,11
3,7,2,6,0,0,2,2,0,192.03151659521632,120.0,9
4,1,0,38,33,3,0,0,3,545.9878054946673,180.0,8
4,2,38,33,26,4,0,3,7,86.25054054614037,240.0,10
4,3,33,26,22,4,0,7,11,502.7315951434696,240.0,9
4,4,26,22,31,0,4,11,7,167.3920184329966,240.0,9
4,5,22,31,21,0,3,7,4,281.9991019979261,180.0,9
4,6,31,21,0,0,3,4,1,582.6293403091161,180.0,8
5,1,0,15,16,4,0,0,4,276.3555227154589,240.0,10
5,2,15,16,11,4,0,4,8,453.2740685820132,240.0,9
5,3,16,11,8,4,0,8,12,194.27870376442021,240.0,7
5,4,11,8,5,0,4,12,8,110.16804367664427,240.0,11
5,5,8,5,10,0,4,8,4,377.97627562009455,240.0,11
5,6,5,10,0,0,4,4,0,241.43546440234795,240.0,11
6,1,0,37,45,5,0,0,5,843.3725084613912,300.0,13
6,2,37,45,48,5,0,5,10,185.52000226621203,300.0,13
6,3,45,48,47,0,4,10,6,168.1236692347671,240.0,11
6,4,48,47,41,1,0,6,7,106.29344126308457,60.0,14
6,5,47,41,29,0,3,7,4,112.85836569757792,180.0,9
6,6,41,29,0,0,3,4,1,494.2697293139643,180.0,10
