leaf_id,attempt,time_limit_seconds,solver_runtime_seconds,work,nodes,simplex_iterations,barrier_iterations,cumulative_runtime,cumulative_work,cumulative_nodes,cumulative_simplex_iterations,cumulative_barrier_iterations,optimize_return_code
L0,0,30,0.25,0.437063,1,425,0,0.25,0.437063,1,425,0,0
L1,0,30,0.581,1.27926,1,4643,0,0.581,1.27926,1,4643,0,0
L2,0,30,30.002,60.8837,84,97934,0,30.002,60.8837,84,97934,0,0
L3,0,30,0.362,0.637957,1,1444,0,0.362,0.637957,1,1444,0,0
L2,1,60,60.018,111.134,572,273706,0,90.02,172.018,656,371640,0,0
L2.0,0,30,30.005,61.481,470,156282,0,30.005,61.481,470,156282,0,0
L2.1,0,30,2.17,4.24638,1,12989,0,2.17,4.24638,1,12989,0,0
L2.0,1,60,60.001,115.657,774,346402,0,90.006,177.138,1244,502684,0,0
L2.0.0,0,30,30.001,64.6243,206,140890,0,30.001,64.6243,206,140890,0,0
L2.0.1,0,30,30.001,62.8124,729,208977,0,30.001,62.8124,729,208977,0,0
L2.0.0,1,23.9377,23.95,51.8536,573,280759,0,53.951,116.478,779,421649,0,0
