leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,closure_source,lower_bound_sources
L0,"",0,-1,0,0.01918815922671353,0,0.076752636906854119,empty,1,0,1,0,0,0,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L1,"",0,-1,0.01918815922671353,0.038376318453427059,0.01918815922671353,0.059812848189515565,replaced,1,1,0,0.059812848189515565,0,0,0,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L2,"",0,-1,0.038376318453427059,0.057564477680140586,0.038376318453427059,0.054196061087714249,replaced,1,1,0,0.054196061087714249,0,0,0,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L3,"",0,-1,0.057564477680140586,0.076752636906854119,0.057564477680140586,0.071112450407413319,replaced,1,1,0,0.071112450407413319,0,0,0,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L1.0,"L1",1,0,0.01918815922671353,0.028782238840070293,0.075307176662622141,0.075307176662622141,open,1,1,0,0.075307176662622141,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L1.1,"L1",1,1,0.028782238840070293,0.038376318453427059,0.064818663030146065,0.064818663030146065,open,1,1,0,0.064818663030146065,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0,"L2",1,0,0.038376318453427059,0.047970398066783826,0.056367410577758952,0.056367410577758952,replaced,1,1,0,0.056367410577758952,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.1,"L2",1,1,0.047970398066783826,0.057564477680140586,0.061525833744104884,0.068679284900389506,open,1,1,0,0.061525833744104884,1,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;native_terminal_mip_bound"
L2.0.0,"L2.0",2,0,0.038376318453427059,0.043173358260105446,0.062137277198524604,0.062137277198524604,open,1,1,0,0.062137277198524604,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.1,"L2.0",2,1,0.043173358260105446,0.047970398066783826,0.05897978089284233,0.05897978089284233,replaced,1,1,0,0.05897978089284233,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L3.0,"L3",1,0,0.057564477680140586,0.067158557293497345,0.071112450407413319,0.071112450407413319,open,1,1,0,0.071112450407413319,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L3.1,"L3",1,1,0.067158557293497345,0.076752636906854119,0.071112450407413319,0.076752636906854119,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L2.0.1.0,"L2.0.1",3,0,0.043173358260105446,0.045571878163444636,0.061785353013763727,0.061785353013763727,open,1,1,0,0.061785353013763727,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.1.1,"L2.0.1",3,1,0.045571878163444636,0.047970398066783826,0.060283676283991824,0.060283676283991824,replaced,1,1,0,0.060283676283991824,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.1.1.0,"L2.0.1.1",4,0,0.045571878163444636,0.046771138115114227,0.061687831041760434,0.061687831041760434,open,1,1,0,0.061687831041760434,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.1.1.1,"L2.0.1.1",4,1,0.046771138115114227,0.047970398066783826,0.060935050137526557,0.060935050137526557,replaced,1,1,0,0.060935050137526557,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.1.1.1.0,"L2.0.1.1.1",5,0,0.046771138115114227,0.047370768090949027,0.06163837028541759,0.06163837028541759,open,1,1,0,0.06163837028541759,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.1.1.1.1,"L2.0.1.1.1",5,1,0.047370768090949027,0.047970398066783826,0.061260593428269484,0.061260593428269484,replaced,1,1,0,0.061260593428269484,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.1.1.1.1.0,"L2.0.1.1.1.1",6,0,0.047370768090949027,0.04767058307886643,0.061612899089411255,0.061612899089411255,open,1,1,0,0.061612899089411255,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.1.1.1.1.1,"L2.0.1.1.1.1",6,1,0.04767058307886643,0.047970398066783826,0.061423329142666828,0.06167741083892745,open,1,1,0,0.061423329142666828,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_partial_native_mip_bound"
