parent_id,parent_lp_bound,left_id,left_lp_bound,left_infeasible,right_id,right_lp_bound,right_infeasible,post_split_bound,tolerance,decision
L1,0.0598128,L1.0,0.0753072,0,L1.1,0.0648187,0,0.0648187,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L2,0.0541961,L2.0,0.0563674,0,L2.1,0.0615258,0,0.0563674,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L2.0,0.0563674,L2.0.0,0.0621373,0,L2.0.1,0.0589798,0,0.0589798,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L3,0.0711125,L3.0,0.0711125,0,L3.1,0,1,0.0711125,1e-07,"complete_child_lp_infeasibility"
L2.0.1,0.0589798,L2.0.1.0,0.0617854,0,L2.0.1.1,0.0602837,0,0.0602837,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.1,0.0602837,L2.0.1.1.0,0.0616878,0,L2.0.1.1.1,0.0609351,0,0.0609351,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.1.1,0.0609351,L2.0.1.1.1.0,0.0616384,0,L2.0.1.1.1.1,0.0612606,0,0.0612606,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.1.1.1,0.0612606,L2.0.1.1.1.1.0,0.0616129,0,L2.0.1.1.1.1.1,0.0614233,0,0.0614233,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.1.1.1.1,0.0614233,L2.0.1.1.1.1.1.0,0.0616007,0,L2.0.1.1.1.1.1.1,0.0615056,0,0.0615056,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
L2.1,0.0615258,L2.1.0,0.0615258,0,L2.1.1,0.0663154,0,0.0615258,1e-07,"no_strict_child_disjunction_gain"
