variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
baseline_300_v12_m2,300,7,0,aggregate,1,2,0
baseline_300_v12_m2,300,7,0,aggregate,2,368,0
baseline_300_v12_m2,300,7,0,aggregate,3,22470,14768
baseline_300_v12_m2,300,7,0,aggregate,4,409547,161620
baseline_300_v12_m2,300,7,0,aggregate,5,4271120,1119341
baseline_300_v12_m2,300,7,0,aggregate,6,30875218,5903567
baseline_300_v12_m2,300,7,0,aggregate,7,161795087,24045120
baseline_300_v12_m2,300,7,0,aggregate,8,594923959,73269034
baseline_300_v12_m2,300,7,0,aggregate,9,1406969906,154551013
baseline_300_v12_m2,300,7,0,aggregate,10,1892195418,198627218
baseline_300_v12_m2,300,7,0,aggregate,11,1254016098,129866435
baseline_300_v12_m2,300,7,0,aggregate,12,305591870,31106324
