variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
baseline_moderate_seed3301_1200,1200,2,0,aggregate,1,1,0
baseline_moderate_seed3301_1200,1200,2,0,aggregate,2,12,0
baseline_moderate_seed3301_1200,1200,2,0,aggregate,3,32,54
baseline_moderate_seed3301_1200,1200,2,0,aggregate,4,160,54
baseline_moderate_seed3301_1200,1200,2,0,aggregate,5,1205,317
baseline_moderate_seed3301_1200,1200,2,0,aggregate,6,13500,3155
baseline_moderate_seed3301_1200,1200,2,0,aggregate,7,138636,27714
baseline_moderate_seed3301_1200,1200,2,0,aggregate,8,1015753,181673
baseline_moderate_seed3301_1200,1200,2,0,aggregate,9,5439988,904698
baseline_moderate_seed3301_1200,1200,2,0,aggregate,10,21832569,3480518
baseline_moderate_seed3301_1200,1200,2,0,aggregate,11,67729242,10489992
baseline_moderate_seed3301_1200,1200,2,0,aggregate,12,165343518,25155727
baseline_moderate_seed3301_1200,1200,2,0,aggregate,13,323284403,48568635
baseline_moderate_seed3301_1200,1200,2,0,aggregate,14,511445619,76270351
baseline_moderate_seed3301_1200,1200,2,0,aggregate,15,659986796,97956576
baseline_moderate_seed3301_1200,1200,2,0,aggregate,16,693591285,101179096
baseline_moderate_seed3301_1200,1200,2,0,aggregate,17,574898424,79438590
baseline_moderate_seed3301_1200,1200,2,0,aggregate,18,345005919,42666426
baseline_moderate_seed3301_1200,1200,2,0,aggregate,19,131454882,13489830
baseline_moderate_seed3301_1200,1200,2,0,aggregate,20,23311374,1809860
