leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,presolve_observed,root_relaxation_observed,model_sha256,row_signature,native_log
R,LP,"OPTIMAL",0,78.907,0.14,0.40109,0,2043,0,0.0292746,1,0,7aa2bab2e7c111e7fe44d0f32c41f3d58c8d299e2a38bbfb106c5b6862a5ccf5,7aa2bab2e7c111e7fe44d0f32c41f3d58c8d299e2a38bbfb106c5b6862a5ccf5,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\sentinel__correctness_sentinel__moderate_seed4301__c3_replica__120s\external\native_logs\R_lp.gurobi.log"
R.0,LP,"OPTIMAL",0,78.6031,0.163,0.486831,0,2010,0,0.0292746,1,0,eee1af0cbed5f9773489cb209e38c2c22ccd99d76fab78cfffb61a357c5224fc,eee1af0cbed5f9773489cb209e38c2c22ccd99d76fab78cfffb61a357c5224fc,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\sentinel__correctness_sentinel__moderate_seed4301__c3_replica__120s\external\native_logs\R.0_lp.gurobi.log"
R.1,LP,"OPTIMAL",0,78.275,0.103,0.301961,0,1558,0,0.0294658,1,0,5f198b7f9f7ce5a31758548c6df74e1f260288382f392210ba459f9606beaafb,5f198b7f9f7ce5a31758548c6df74e1f260288382f392210ba459f9606beaafb,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\sentinel__correctness_sentinel__moderate_seed4301__c3_replica__120s\external\native_logs\R.1_lp.gurobi.log"
R.0.0,LP,"OPTIMAL",0,78.0098,0.164,0.472167,0,2133,0,0.0294658,1,0,a57e9d772df5c74b042d38369f8f9c5282e1c865a2a675e6f9b6c0df4754c968,a57e9d772df5c74b042d38369f8f9c5282e1c865a2a675e6f9b6c0df4754c968,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\sentinel__correctness_sentinel__moderate_seed4301__c3_replica__120s\external\native_logs\R.0.0_lp.gurobi.log"
R.0.1,LP,"OPTIMAL",0,77.6822,0.191,0.616233,0,2859,0,0.0297158,1,0,03c4946184855312018f2380e1a78f825b6f79fdf7f7468cd1612cfb7dc0c626,03c4946184855312018f2380e1a78f825b6f79fdf7f7468cd1612cfb7dc0c626,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\sentinel__correctness_sentinel__moderate_seed4301__c3_replica__120s\external\native_logs\R.0.1_lp.gurobi.log"
R.0.0.0,LP,"OPTIMAL",0,77.3289,0.17,0.482534,0,1957,0,0.0297158,1,0,c9cd02a07e3c2a0d9f9edb8ce86d693efe552c9a4d30bd1852a3bef343b41473,c9cd02a07e3c2a0d9f9edb8ce86d693efe552c9a4d30bd1852a3bef343b41473,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\sentinel__correctness_sentinel__moderate_seed4301__c3_replica__120s\external\native_logs\R.0.0.0_lp.gurobi.log"
R.0.0.1,LP,"OPTIMAL",0,76.9911,0.152,0.42874,0,1888,0,0.0297158,1,0,4bf599df4bdb1857ffe4d95678fadb1209287bdd6a5d87b712ca743099d366ba,4bf599df4bdb1857ffe4d95678fadb1209287bdd6a5d87b712ca743099d366ba,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\sentinel__correctness_sentinel__moderate_seed4301__c3_replica__120s\external\native_logs\R.0.0.1_lp.gurobi.log"
R.0.0.0.0,LP,"OPTIMAL",0,76.6735,0.13,0.362552,0,1529,0,0.0297158,1,0,d43ad79efe9ebfd8398736a7ba3201f907fbaa8b2769d9b3f779c9790b05b694,d43ad79efe9ebfd8398736a7ba3201f907fbaa8b2769d9b3f779c9790b05b694,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\sentinel__correctness_sentinel__moderate_seed4301__c3_replica__120s\external\native_logs\R.0.0.0.0_lp.gurobi.log"
R.0.0.0.1,LP,"OPTIMAL",0,76.3789,0.136,0.379445,0,1630,0,0.0297158,1,0,b977f5e37edfd4726b1bcc3784a6eec8805fb9c5d8acc97dfe1f89143cd35634,b977f5e37edfd4726b1bcc3784a6eec8805fb9c5d8acc97dfe1f89143cd35634,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\sentinel__correctness_sentinel__moderate_seed4301__c3_replica__120s\external\native_logs\R.0.0.0.1_lp.gurobi.log"
R.0.0.0.0.0,LP,"INFEASIBLE",0,76.08,0.00199986,0.00444774,0,0,0,0.0297158,1,0,85274e38b6e7179d2f3e0f340d9e69cb82a98dca20afdfb626783fcd3ab0b07d,85274e38b6e7179d2f3e0f340d9e69cb82a98dca20afdfb626783fcd3ab0b07d,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\sentinel__correctness_sentinel__moderate_seed4301__c3_replica__120s\external\native_logs\R.0.0.0.0.0_lp.gurobi.log"
R.0.0.0.0.1,LP,"OPTIMAL",0,75.9161,0.132,0.376027,0,1641,0,0.0297158,1,0,4f281ef364d8037db5e6c2904416ca1571596cb1ef185f0d8ebe69b395b8434a,4f281ef364d8037db5e6c2904416ca1571596cb1ef185f0d8ebe69b395b8434a,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\sentinel__correctness_sentinel__moderate_seed4301__c3_replica__120s\external\native_logs\R.0.0.0.0.1_lp.gurobi.log"
R.0.0.0.0.1.1,LP,"OPTIMAL",0,75.6205,0.153,0.426834,0,1841,0,0.0297158,1,0,de78f7bca351bed9cdc3e9a74c2f23a045180f1f15901af62f0a237aa2d685fe,de78f7bca351bed9cdc3e9a74c2f23a045180f1f15901af62f0a237aa2d685fe,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\sentinel__correctness_sentinel__moderate_seed4301__c3_replica__120s\external\native_logs\R.0.0.0.0.1.1_lp.gurobi.log"
R.0.0.0.0.1.0,LP,"OPTIMAL",0,75.3062,0.135,0.373091,0,1601,0,0.0297158,1,0,58c165f8c448c79dde96e331911731018a07825872bc3456756a32ba035d0b5f,58c165f8c448c79dde96e331911731018a07825872bc3456756a32ba035d0b5f,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\sentinel__correctness_sentinel__moderate_seed4301__c3_replica__120s\external\native_logs\R.0.0.0.0.1.0_lp.gurobi.log"
