generation,elapsed_seconds,best_fitness,strict_improvement
0,0.0027058999999999998,-4.4055190323692743,true
1,0.0064643000000000001,-4.4055190323692743,false
2,0.0098294999999999997,-4.3633109798098832,true
3,0.012349600000000001,-4.3633109798098832,false
4,0.0158108,-4.3633109798098832,false
5,0.018862199999999999,-4.3633109798098832,false
6,0.0234042,-4.3633109798098832,false
7,0.0296061,-4.3633109798098832,false
8,0.034362999999999998,-4.3633109798098832,false
9,0.038066999999999997,-4.3633109798098832,false
10,0.040564099999999999,-4.3633109798098832,false
11,0.042964099999999998,-4.3633109798098832,false
12,0.047231200000000001,-4.3633109798098832,false
13,0.050023499999999999,-4.3633109798098832,false
14,0.052817599999999999,-4.3633109798098832,false
15,0.055768999999999999,-4.3633109798098832,false
16,0.059253199999999999,-4.3633109798098832,false
17,0.062731300000000004,-4.3633109798098832,false
18,0.064888899999999999,-4.3633109798098832,false
19,0.067271700000000004,-4.3633109798098832,false
20,0.069743100000000002,-4.3633109798098832,false
21,0.072561200000000006,-4.3633109798098832,false
22,0.074935100000000004,-4.3633109798098832,false
23,0.078286300000000003,-4.3633109798098832,false
24,0.081641500000000006,-4.3633109798098832,false
25,0.0844448,-4.3633109798098832,false
26,0.086916099999999996,-4.3633109798098832,false
27,0.089640800000000007,-4.3633109798098832,false
28,0.092583799999999994,-4.3633109798098832,false
29,0.096511899999999998,-4.3633109798098832,false
30,0.099006700000000003,-4.3633109798098832,false
31,0.101962,-4.3633109798098832,false
32,0.1074428,-4.3633109798098832,false
33,0.109926,-4.3633109798098832,false
34,0.1124508,-4.3633109798098832,false
35,0.1148212,-4.3633109798098832,false
36,0.1180967,-4.3633109798098832,false
37,0.1203277,-4.3633109798098832,false
38,0.1230115,-4.3633109798098832,false
39,0.12541930000000001,-4.3633109798098832,false
40,0.12806480000000001,-4.3633109798098832,false
41,0.1310702,-4.3633109798098832,false
42,0.13371730000000001,-4.3633109798098832,false
43,0.13639970000000001,-4.3633109798098832,false
44,0.14005860000000001,-4.3633109798098832,false
45,0.1429241,-4.3633109798098832,false
46,0.14548549999999999,-4.3633109798098832,false
47,0.14762620000000001,-4.3633109798098832,false
48,0.1502097,-4.3633109798098832,false
49,0.15235090000000001,-4.3633109798098832,false
50,0.1551266,-4.3633109798098832,false
51,0.15698870000000001,-4.3633109798098832,false
52,0.15980720000000001,-4.3633109798098832,false
53,0.16199269999999999,-4.3633109798098832,false
54,0.1642313,-4.3633109798098832,false
55,0.1673,-4.3633109798098832,false
56,0.16868929999999999,-4.3633109798098832,false
57,0.1721222,-4.3633109798098832,false
58,0.17543619999999999,-4.3633109798098832,false
59,0.178063,-4.3633109798098832,false
60,0.18194060000000001,-4.3633109798098832,false
61,0.18469099999999999,-4.3633109798098832,false
62,0.187219,-4.3633109798098832,false
63,0.19003929999999999,-4.3633109798098832,false
64,0.19227810000000001,-4.3633109798098832,false
65,0.1949304,-4.3633109798098832,false
66,0.19724240000000001,-4.3633109798098832,false
67,0.2010102,-4.3633109798098832,false
68,0.2031126,-4.3633109798098832,false
69,0.20547840000000001,-4.3633109798098832,false
70,0.2083285,-4.3633109798098832,false
71,0.2104712,-4.3633109798098832,false
72,0.21398149999999999,-4.3633109798098832,false
73,0.21813830000000001,-4.3633109798098832,false
74,0.220305,-4.3633109798098832,false
75,0.2235365,-4.3633109798098832,false
76,0.22603999999999999,-4.3633109798098832,false
77,0.2284207,-4.3633109798098832,false
78,0.23150229999999999,-4.3633109798098832,false
79,0.23410310000000001,-4.3633109798098832,false
80,0.23725979999999999,-4.3633109798098832,false
81,0.23983689999999999,-4.3633109798098832,false
82,0.2439991,-4.3633109798098832,false
83,0.247063,-4.3633109798098832,false
84,0.25149329999999998,-4.3633109798098832,false
