leaf_id,attempt,time_limit_seconds,solver_runtime_seconds,work,nodes,simplex_iterations,barrier_iterations,cumulative_runtime,cumulative_work,cumulative_nodes,cumulative_simplex_iterations,cumulative_barrier_iterations,optimize_return_code
L0,0,30,0.479757,0,0,0,0,0,0,0,0,0,0
L1,0,30,2.08197,0,0,0,0,0,0,0,0,0,0
L2,0,30,30.2357,0,782,0,0,0,0,0,0,0,0
L3,0,30,0.663318,0,0,0,0,0,0,0,0,0,0
L2,1,60,60.2427,0,1491,0,0,0,0,0,0,0,0
L2.0,0,30,30.0891,0,879,0,0,0,0,0,0,0,0
L2.1,0,30,9.63246,0,207,0,0,0,0,0,0,0,0
L2.0,1,60,60.2735,0,1486,0,0,0,0,0,0,0,0
L2.0.0,0,30,30.082,0,517,0,0,0,0,0,0,0,0
L2.0.1,0,30,30.2493,0,1018,0,0,0,0,0,0,0,0
L2.0.0,1,13.5292,13.7367,0,140,0,0,0,0,0,0,0,0
