decision_sequence,K0,rho,rho_source,interval_id,parent_id,depth,gamma_L,gamma_U,parent_bound,left_child_id,left_child_bound,left_child_infeasible,right_child_id,right_child_bound,right_child_infeasible,verified_incumbent,normalized_c6_gain,child_infeasibility_trigger,threshold_comparison,selected_action,target_value,deterministic_reason,coverage_update
1,1,0.01,"implicit-default","L0","",0,0,0.04915255266474515,0.029559107138148299,"L0.0",0.033181515548994886,0,"L0.1",0.044264412577495041,0,0.04915255266474515,0.18487858125460366,0,"gain_greater_than_or_equal_to_rho","split",,"adaptive_mass_score_reaches_tau","atomic_parent_replaced_by_two_children"
2,1,0.01,"implicit-default","L0.0","L0",1,0,0.024576276332372575,0.044405043752714236,"L0.0.0",0.037023531980125257,0,"L0.0.1",0.040577244234631035,0,0.04915255266474515,0,0,"no_strict_gain","exact-close",,"adaptive_mass_no_strict_child_improvement","parent_coverage_retained"
