run_id,instance,decision_sequence,interval_id,parent_rows,parent_columns,parent_nonzeros,left_rows,left_columns,left_nonzeros,right_rows,right_columns,right_nonzeros,additional_models_built,additional_lp_queries,additional_mip_queries
"stage3_300s__moderate_seed3301__K1-AMF","moderate_seed3301.txt",1,"L0",11925,3380,67136,11925,3380,67136,11927,3380,67394,0,0,0
"stage3_300s__moderate_seed3301__K1-AMF","moderate_seed3301.txt",2,"L0.0",11925,3380,67136,11925,3380,67136,11925,3380,67382,0,0,0
