vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,15,4,7,0,0,7,259.76262868992455,420.0,11
0,2,15,4,16,0,4,7,3,314.18405150843296,240.0,8
0,3,4,16,8,8,0,3,11,210.96217095747815,480.0,12
0,4,16,8,13,0,5,11,6,288.52786458818827,300.0,11
0,5,8,13,0,0,5,6,1,337.5721339506722,300.0,10
1,1,0,9,14,7,0,0,7,127.45116688534556,420.0,14
1,2,9,14,11,0,2,7,5,268.8250724161285,120.0,5
1,3,14,11,7,0,5,5,0,303.9492770845207,300.0,11
1,4,11,7,19,10,0,0,10,344.1418800553186,600.0,16
1,5,7,19,0,0,7,10,3,208.4596932221892,420.0,15
