leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,presolve_observed,root_relaxation_observed,model_sha256,row_signature,native_log
R,LP,"OPTIMAL",0,250.386,1.814,5.45424,0,7805,0,0.232229,1,0,7e8f707c003bc2eb7c2b85e3df3dc449f3f4c7645f68b01afd060657452a0d6f,7e8f707c003bc2eb7c2b85e3df3dc449f3f4c7645f68b01afd060657452a0d6f,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__high_imbalance_seed6202__c3_replica__300s\external\native_logs\R_lp.gurobi.log"
R.0,LP,"INFEASIBLE",0,247.082,15.976,47.1822,0,25054,0,0.232229,1,0,33517f310b221724c18f35bba2a915dda0a757315d0a67088f48653ba81563c6,33517f310b221724c18f35bba2a915dda0a757315d0a67088f48653ba81563c6,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__high_imbalance_seed6202__c3_replica__300s\external\native_logs\R.0_lp.gurobi.log"
R.1,LP,"OPTIMAL",0,229.593,2.594,7.94225,0,8758,0,0.232283,1,0,6b1d97a433529a2729e1f435a5f41027f30912d840b3d49a241b67039ea26ae4,6b1d97a433529a2729e1f435a5f41027f30912d840b3d49a241b67039ea26ae4,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__high_imbalance_seed6202__c3_replica__300s\external\native_logs\R.1_lp.gurobi.log"
R.1.0,LP,"OPTIMAL",0,225.522,1.878,5.79857,0,8060,0,0.232503,1,0,4d2f16aa80462eeb73067a1a6ee0e7d1d6e481f40ee3a3dcbcfef5989d15573e,4d2f16aa80462eeb73067a1a6ee0e7d1d6e481f40ee3a3dcbcfef5989d15573e,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__high_imbalance_seed6202__c3_replica__300s\external\native_logs\R.1.0_lp.gurobi.log"
R.1.1,LP,"OPTIMAL",0,222.219,1.58,4.86158,0,6878,0,0.232503,1,0,ddd1d6078f7ab7a135909b5706e59d881532b14fadd346bdda725c635cdbac46,ddd1d6078f7ab7a135909b5706e59d881532b14fadd346bdda725c635cdbac46,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__high_imbalance_seed6202__c3_replica__300s\external\native_logs\R.1.1_lp.gurobi.log"
R.1.0.1,LP,"OPTIMAL",0,219.166,2.179,6.86205,0,8637,0,0.232503,1,0,5a077c6d3a88a41080d1ea8915e1bf77294e95a0e9587d92a69e2d4fce5092c9,5a077c6d3a88a41080d1ea8915e1bf77294e95a0e9587d92a69e2d4fce5092c9,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__high_imbalance_seed6202__c3_replica__300s\external\native_logs\R.1.0.1_lp.gurobi.log"
R.1.0.0,LP,"OPTIMAL",0,215.326,3.638,11.3464,0,9397,0,0.234146,1,0,092b0f636251ac4633dd4d156da645cf2f3b14670958cb6042ae5ffd050448fb,092b0f636251ac4633dd4d156da645cf2f3b14670958cb6042ae5ffd050448fb,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__high_imbalance_seed6202__c3_replica__300s\external\native_logs\R.1.0.0_lp.gurobi.log"
R.1.0.1.1,LP,"OPTIMAL",0,210.17,2.245,6.87592,0,8972,0,0.234146,1,0,c7a5a85a9302166cc57cc70e0ddc26659d4f0af4cad114aa3f1d35656aaeebaa,c7a5a85a9302166cc57cc70e0ddc26659d4f0af4cad114aa3f1d35656aaeebaa,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__high_imbalance_seed6202__c3_replica__300s\external\native_logs\R.1.0.1.1_lp.gurobi.log"
R.1.0.1.0,LP,"OPTIMAL",0,206.399,3.153,9.59897,0,9969,0,0.234146,1,0,386041eba86a226039906c54c603ffbffc988a39f4c7f74b46f2900ae662b367,386041eba86a226039906c54c603ffbffc988a39f4c7f74b46f2900ae662b367,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__high_imbalance_seed6202__c3_replica__300s\external\native_logs\R.1.0.1.0_lp.gurobi.log"
R.1.0.1.0.0,LP,"OPTIMAL",0,201.699,2.566,8.07449,0,8847,0,0.234146,1,0,398b3b498a3a4650f376819965214f7c4c8ac6bd4270986d6b18335bc84de0f6,398b3b498a3a4650f376819965214f7c4c8ac6bd4270986d6b18335bc84de0f6,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__high_imbalance_seed6202__c3_replica__300s\external\native_logs\R.1.0.1.0.0_lp.gurobi.log"
R.1.0.1.0.1,LP,"OPTIMAL",0,197.626,2.357,7.26043,0,8625,0,0.234146,1,0,fd17b928a27d549d537306b28efc3ad5e7fec9ab79a12435478278521fd0b344,fd17b928a27d549d537306b28efc3ad5e7fec9ab79a12435478278521fd0b344,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__high_imbalance_seed6202__c3_replica__300s\external\native_logs\R.1.0.1.0.1_lp.gurobi.log"
