step,process_seconds,kind,vehicle,pickup,drop,quantity,pickup_leg,drop_leg,travel_delta,added_duration,first,second,delta,F,G,P,insertion_placements,insertion_quantities,quantity_feasible,status
0,0.25799509999999998,none,-1,0,0,0,-1,-1,0,0,0,0,0,0.17478993193288328,0.045114026346650654,0.86450603724155095,0,0,0,initial_verified
1,0.2610749,quantity,-1,0,0,0,-1,-1,0,0,10,13,1,0.17230159460536087,0.042419927769128216,0.8658777789082176,0,0,1865,accepted_verified
2,0.26134750000000001,quantity,-1,0,0,0,-1,-1,0,0,14,16,-1,0.17166719974709796,0.041168250603173022,0.86999299429283294,0,0,3715,accepted_verified
3,0.26166279999999997,quantity,-1,0,0,0,-1,-1,0,0,13,27,-1,0.17161162683007516,0.041729960186150238,0.86587777762616625,0,0,5572,accepted_verified
3,0.2618877,none,-1,0,0,0,-1,-1,0,0,0,0,0,0.17161162683007516,0.041729960186150238,0.86587777762616625,0,0,7412,joint_neighborhood_exhausted
