step,process_seconds,kind,vehicle,pickup,drop,quantity,pickup_leg,drop_leg,travel_delta,added_duration,first,second,delta,F,G,P,insertion_placements,insertion_quantities,quantity_feasible,status
0,0.24248349999999999,none,-1,0,0,0,-1,-1,0,0,0,0,0,0.26123887864283685,0.092056759782881067,1.1278807923997054,0,0,0,initial_verified
1,0.24285770000000001,quantity,-1,0,0,0,-1,-1,0,0,22,27,-1,0.25155064900967866,0.087306805149722846,1.094958959066372,0,0,2751,accepted_verified
2,0.24319470000000001,quantity,-1,0,0,0,-1,-1,0,0,1,3,-2,0.24317314458427652,0.083456055269775273,1.0647805954300085,0,0,5493,accepted_verified
3,0.2435821,quantity,-1,0,0,0,-1,-1,0,0,6,15,-2,0.23414067397001942,0.078950339200972705,1.0346022317936447,0,0,8252,accepted_verified
4,0.24390709999999999,quantity,-1,0,0,0,-1,-1,0,0,12,24,-2,0.22423772131115899,0.073574141087566783,1.0044238681572815,0,0,11032,accepted_verified
5,0.2442288,quantity,-1,0,0,0,-1,-1,0,0,14,23,3,0.21833005156231555,0.075073884520541534,0.95504111361182686,0,0,13817,accepted_verified
6,0.2484645,quantity,-1,0,0,0,-1,-1,0,0,19,26,3,0.21333244329533735,0.074397281830486384,0.92623440976567317,0,0,16653,accepted_verified
7,0.2487876,quantity,-1,0,0,0,-1,-1,0,0,29,30,2,0.20828579896007918,0.073877392495228206,0.89605604309900644,0,0,19183,accepted_verified
8,0.24911349999999999,quantity,-1,0,0,0,-1,-1,0,0,2,4,-2,0.20437041429171698,0.070373517442250635,0.89331264566310897,0,0,21689,accepted_verified
9,0.24941089999999999,quantity,-1,0,0,0,-1,-1,0,0,7,25,1,0.20005961237020808,0.068120331310215401,0.87959520706661776,0,0,24195,accepted_verified
10,0.24969160000000001,quantity,-1,0,0,0,-1,-1,0,0,11,28,-2,0.19592511205134922,0.06398583099135656,0.87959520706661776,0,0,26551,accepted_verified
11,0.24997130000000001,quantity,-1,0,0,0,-1,-1,0,0,22,27,-2,0.19259577375888898,0.060656492698896343,0.87959520706661765,0,0,28924,accepted_verified
12,0.25024780000000002,quantity,-1,0,0,0,-1,-1,0,0,16,27,1,0.19056548775134308,0.058420451883658138,0.88096690578456638,0,0,31271,accepted_verified
13,0.25052720000000001,quantity,-1,0,0,0,-1,-1,0,0,2,14,1,0.18960891176170225,0.056846593586324982,0.88508212116918172,0,0,33625,accepted_verified
14,0.25081419999999999,quantity,-1,0,0,0,-1,-1,0,0,21,26,-1,0.1888773083563553,0.054057372680978051,0.89879957116918174,0,0,36021,accepted_verified
15,0.25110199999999999,quantity,-1,0,0,0,-1,-1,0,0,13,23,-1,0.18844953010253312,0.052189266699883163,0.90840175601766648,0,0,38436,accepted_verified
16,0.25139010000000001,quantity,-1,0,0,0,-1,-1,0,0,22,28,1,0.18822092497551782,0.051549134072867854,0.91114527268433321,0,0,40853,accepted_verified
17,0.25167889999999998,quantity,-1,0,0,0,-1,-1,0,0,8,26,-1,0.1880406553934009,0.04951701426347821,0.92349094086615136,0,0,43270,accepted_verified
18,0.25196829999999998,quantity,-1,0,0,0,-1,-1,0,0,25,30,-1,0.1880109228324825,0.049281519992033486,0.92486268560299345,0,0,45706,accepted_verified
18,0.25224740000000001,none,-1,0,0,0,-1,-1,0,0,0,0,0,0.1880109228324825,0.049281519992033486,0.92486268560299345,0,0,48055,joint_neighborhood_exhausted
