"instance","run_label","method","top_status","interval_id","g_low","g_high","interval_status","interval_lower_bound","incumbent_cutoff","gap_contribution","route_mask_enabled","incumbent_cutoff_active","bpc_nodes","open_nodes","columns","pricing_calls","pricing_time_seconds","master_time_seconds","bound_time_seconds","route_mask_time_seconds","cuts_added","branching_decisions","reason_if_open","source_note","result_file"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","0","0","0.0289539","bound_fathomed_by_cutoff_relaxation","0.463263","","","true","true","","","","","","","","","","","","interval 0 inventory relaxation: inventory-route-Gini cutoff relaxation infeasible; no incumbent-improving solution exists in this interval: interval=[0,0.0289539], pickup_limit=60, route_visit_cuts=singletons+subsets_up_to_10, integer_inventory_relaxation=true, station_flow_conservation=true, depot_return_capacity=true, station_operation_capacity=true, route_mask_duration_load_relaxation=true, incumbent_cutoff_bound=true, penalty_budget=3.0884200612, min_station_bikes=276, objective_lb=0.463263, lp=results\bound_work\test_data_V10_M2_average_1781240456073972700_4249528327736205830\inventory_gini_bound.lp","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","","","","bound_fathomed","","","","","","","","","","","","","","","","","interval 0 bound-fathomed by final-inventory relaxation before branch-price tree","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","1","0.0289539","0.0579079","bound_fathomed_by_cutoff_relaxation","0.463263","","","true","true","","","","","","","","","","","","interval 1 inventory relaxation: inventory-route-Gini cutoff relaxation infeasible; no incumbent-improving solution exists in this interval: interval=[0.0289539,0.0579079], pickup_limit=60, route_visit_cuts=singletons+subsets_up_to_10, integer_inventory_relaxation=true, station_flow_conservation=true, depot_return_capacity=true, station_operation_capacity=true, route_mask_duration_load_relaxation=true, incumbent_cutoff_bound=true, penalty_budget=2.89539380737, min_station_bikes=276, objective_lb=0.463263, lp=results\bound_work\test_data_V10_M2_average_1781240452806711200_1230235464250880600\inventory_gini_bound.lp","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","","","","bound_fathomed","","","","","","","","","","","","","","","","","interval 1 bound-fathomed by final-inventory relaxation before branch-price tree","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","2","0.0579079","0.0868618","bound_fathomed_by_cutoff_relaxation","0.463263","","","true","true","","","","","","","","","","","","interval 2 inventory relaxation: inventory-route-Gini cutoff relaxation infeasible; no incumbent-improving solution exists in this interval: interval=[0.0579079,0.0868618], pickup_limit=60, route_visit_cuts=singletons+subsets_up_to_10, integer_inventory_relaxation=true, station_flow_conservation=true, depot_return_capacity=true, station_operation_capacity=true, route_mask_duration_load_relaxation=true, incumbent_cutoff_bound=true, penalty_budget=2.70236755355, min_station_bikes=276, objective_lb=0.463263, lp=results\bound_work\test_data_V10_M2_average_1781240450378764500_4249528327736205830\inventory_gini_bound.lp","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","","","","bound_fathomed","","","","","","","","","","","","","","","","","interval 2 bound-fathomed by final-inventory relaxation before branch-price tree","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","3","0.0868618","0.115816","bound_fathomed_by_cutoff_relaxation","0.463263","","","true","true","","","","","","","","","","","","interval 3 inventory relaxation: inventory-route-Gini cutoff relaxation infeasible; no incumbent-improving solution exists in this interval: interval=[0.0868618,0.115816], pickup_limit=60, route_visit_cuts=singletons+subsets_up_to_10, integer_inventory_relaxation=true, station_flow_conservation=true, depot_return_capacity=true, station_operation_capacity=true, route_mask_duration_load_relaxation=true, incumbent_cutoff_bound=true, penalty_budget=2.50934129972, min_station_bikes=276, objective_lb=0.463263, lp=results\bound_work\test_data_V10_M2_average_1781240447057017000_1230235464250880600\inventory_gini_bound.lp","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","","","","bound_fathomed","","","","","","","","","","","","","","","","","interval 3 bound-fathomed by final-inventory relaxation before branch-price tree","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","4","0.115816","0.14477","bound_fathomed_by_cutoff_relaxation","0.463263","","","true","true","","","","","","","","","","","","interval 4 inventory relaxation: inventory-route-Gini cutoff relaxation infeasible; no incumbent-improving solution exists in this interval: interval=[0.115816,0.14477], pickup_limit=60, route_visit_cuts=singletons+subsets_up_to_10, integer_inventory_relaxation=true, station_flow_conservation=true, depot_return_capacity=true, station_operation_capacity=true, route_mask_duration_load_relaxation=true, incumbent_cutoff_bound=true, penalty_budget=2.3163150459, min_station_bikes=276, objective_lb=0.463263, lp=results\bound_work\test_data_V10_M2_average_1781240444426370500_4249528327736205830\inventory_gini_bound.lp","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","","","","bound_fathomed","","","","","","","","","","","","","","","","","interval 4 bound-fathomed by final-inventory relaxation before branch-price tree","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","5","0.14477","0.173724","bound_fathomed_by_cutoff_relaxation","0.463263","","","true","true","","","","","","","","","","","","interval 5 inventory relaxation: inventory-route-Gini cutoff relaxation infeasible; no incumbent-improving solution exists in this interval: interval=[0.14477,0.173724], pickup_limit=60, route_visit_cuts=singletons+subsets_up_to_10, integer_inventory_relaxation=true, station_flow_conservation=true, depot_return_capacity=true, station_operation_capacity=true, route_mask_duration_load_relaxation=true, incumbent_cutoff_bound=true, penalty_budget=2.12328879207, min_station_bikes=276, objective_lb=0.463263, lp=results\bound_work\test_data_V10_M2_average_1781240441578034400_1230235464250880600\inventory_gini_bound.lp","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","","","","bound_fathomed","","","","","","","","","","","","","","","","","interval 5 bound-fathomed by final-inventory relaxation before branch-price tree","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","6","0.173724","0.202678","bound_fathomed_by_cutoff_relaxation","0.463263","","","true","true","","","","","","","","","","","","interval 6 inventory relaxation: inventory-route-Gini cutoff relaxation infeasible; no incumbent-improving solution exists in this interval: interval=[0.173724,0.202678], pickup_limit=60, route_visit_cuts=singletons+subsets_up_to_10, integer_inventory_relaxation=true, station_flow_conservation=true, depot_return_capacity=true, station_operation_capacity=true, route_mask_duration_load_relaxation=true, incumbent_cutoff_bound=true, penalty_budget=1.93026253825, min_station_bikes=276, objective_lb=0.463263, lp=results\bound_work\test_data_V10_M2_average_1781240439202191900_4249528327736205830\inventory_gini_bound.lp","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
"test_data_V10_M2_average.txt","V10_M2_average_BPC_success_4w","gcap-frontier","optimal","","","","bound_fathomed","","","","","","","","","","","","","","","","","interval 6 bound-fathomed by final-inventory relaxation before branch-price tree","results\dyn4_v10_m2_average_frontier_routemask_relax20_refine18_1200s.json"
