elapsed_seconds,event,incumbent_UB,global_LB,gap,unresolved_intervals,global_min_lb_interval_id,global_min_lb_interval_range,global_min_lb_source,open_nodes,route_pool_columns_after_dominance,route_pool_best_incumbent,focused_intensification_passes,last_LB_improvement_time,last_UB_improvement_time,bound_time_seconds,master_time_seconds,pricing_time_seconds,columns,nodes
0.0001864,initial_empty_incumbent,1.5504470409,0,1,0,-1,"","seed_initial",0,0,0,0,0.0001864,0.0001864,0,0,0,0,0
4.1037162,initial_after_seed,0.221910998584,0,1,2,0,"[0,0.110955]",gamma_floor,0,5,0.221910998584,0,4.1037162,4.1037162,0,0,0,465880,13154527
7.0548288,interval_relaxation_0,0.221910998584,0.110955499292,0.5,2,1,"[0.110955,0.221911]",gamma_floor,0,5,0.221910998584,0,7.0548288,4.1037162,2.9509111,0,0,465880,13154527
15.2113847,interval_tree_0,0.221910998584,0.110955499292,0.5,2,1,"[0.110955,0.221911]",gamma_floor,0,885,0.221910998584,0,7.0548288,4.1037162,2.9509111,2.9592118,4.9995986,466770,13154528
15.3105942,route_pool_after_candidate_0,0.221910998584,0.110955499292,0.5,2,1,"[0.110955,0.221911]",gamma_floor,1,885,0.221910998584,0,7.0548288,4.1037162,2.9509111,2.9592118,4.9995986,466770,13154528
17.2493212,interval_relaxation_1,0.221910998584,0.191363437963,0.137656812034,2,0,"[0,0.110955]",inventory_route_gini_relaxation,1,885,0.221910998584,0,17.2493212,4.1037162,4.88921,2.9592118,4.9995986,466770,13154528
31.8060079,interval_tree_1,0.221910998584,0.191363437963,0.137656812034,2,0,"[0,0.110955]",inventory_route_gini_relaxation,1,977,0.221910998584,0,17.2493212,4.1037162,4.88921,5.1390994,17.1693802,467670,13154529
32.4817604,adaptive_split_child_2,0.221910998584,0.21435028421,0.0340709312397,1,1,"[0.110955,0.221911]",inventory_route_gini_relaxation,1,977,0.221910998584,0,32.4817604,4.1037162,5.5645288,5.1390994,17.1693802,467670,13154529
35.0198723,adaptive_split_child_3,0.221910998584,0.193426467373,0.128360159671,2,3,"[0.0554777,0.110955]",inventory_route_gini_relaxation,2,977,0.221910998584,0,32.4817604,4.1037162,8.1026048,5.1390994,17.1693802,467670,13154529
35.7024153,adaptive_split_child_4,0.221910998584,0.21435028421,0.0340709312397,1,1,"[0.110955,0.221911]",inventory_route_gini_relaxation,1,977,0.221910998584,0,32.4817604,4.1037162,8.7850992,5.1390994,17.1693802,467670,13154529
37.9830566,adaptive_split_child_5,0.221910998584,0.19456975108,0.123208167592,2,5,"[0.0832166,0.110955]",inventory_route_gini_relaxation,2,977,0.221910998584,0,32.4817604,4.1037162,11.0657076,5.1390994,17.1693802,467670,13154529
40.4028548,adaptive_split_child_6,0.221910998584,0.197888604566,0.108252381229,2,6,"[0.0832166,0.0970861]",inventory_route_gini_relaxation,2,977,0.221910998584,0,32.4817604,4.1037162,13.4854656,5.1390994,17.1693802,467670,13154529
42.2495064,adaptive_split_child_7,0.221910998584,0.197888604566,0.108252381229,3,6,"[0.0832166,0.0970861]",inventory_route_gini_relaxation,3,977,0.221910998584,0,32.4817604,4.1037162,15.3320784,5.1390994,17.1693802,467670,13154529
51.048784,focused_retry_interval_6,0.221910998584,0.197888604566,0.108252381229,3,6,"[0.0832166,0.0970861]",inventory_route_gini_relaxation,3,1009,0.221910998584,1,32.4817604,4.1037162,17.7385591,7.4268904,21.0548773,468566,13154530
55.7459862,focused_retry_interval_6,0.221910998584,0.197888604566,0.108252381229,3,6,"[0.0832166,0.0970861]",inventory_route_gini_relaxation,3,1009,0.221910998584,1,32.4817604,4.1037162,17.7385591,9.4095118,23.5726307,469442,13154531
55.8624697,route_pool_before_final_summary,0.221910998584,0.197888604566,0.108252381229,3,6,"[0.0832166,0.0970861]",inventory_route_gini_relaxation,3,1009,0.221910998584,1,32.4817604,4.1037162,17.7385591,9.4095118,23.5726307,469442,13154531
55.8625348,final_summary,0.221910998584,0.197888604566,0.108252381229,3,6,"[0.0832166,0.0970861]",inventory_route_gini_relaxation,3,1009,0.221910998584,1,32.4817604,4.1037162,17.7385591,9.4095118,23.5726307,469442,13154531
