elapsed_seconds,event,incumbent_UB,global_LB,gap,unresolved_intervals,global_min_lb_interval_id,global_min_lb_interval_range,global_min_lb_source,open_nodes,route_pool_columns_after_dominance,route_pool_best_incumbent,focused_intensification_passes,last_LB_improvement_time,last_UB_improvement_time,bound_time_seconds,master_time_seconds,pricing_time_seconds,columns,nodes
0.0001762,initial_empty_incumbent,0.958494134625,0,1,0,-1,"","seed_initial",0,0,0,0,0.0001762,0.0001762,0,0,0,0,0
4.0994397,initial_after_seed,0.0978535771983,0,1,2,0,"[0,0.0489268]",gamma_floor,0,5,0.0978535771983,0,4.0994397,4.0994397,0,0,0,579628,11917676
8.0029534,interval_relaxation_0,0.0978535771983,0.0489267885992,0.5,2,1,"[0.0489268,0.0978536]",gamma_floor,0,5,0.0978535771983,0,8.0029534,4.0994397,3.9033122,0,0,579628,11917676
21.5285472,interval_tree_0,0.0978535771983,0.0489267885992,0.5,2,1,"[0.0489268,0.0978536]",gamma_floor,0,859,0.0978535771983,0,8.0029534,4.0994397,3.9033122,2.3338412,11.0221071,580484,11917677
21.622976,route_pool_after_candidate_0,0.0978535771983,0.0489267885992,0.5,2,1,"[0.0489268,0.0978536]",gamma_floor,1,859,0.0978535771983,0,8.0029534,4.0994397,3.9033122,2.3338412,11.0221071,580484,11917677
23.942728,interval_relaxation_1,0.0978535771983,0.082418847639,0.157732910755,2,0,"[0,0.0489268]",inventory_route_gini_relaxation,1,859,0.0978535771983,0,23.942728,4.0994397,6.2221144,2.3338412,11.0221071,580484,11917677
45.0604613,interval_tree_1,0.0978535771983,0.082418847639,0.157732910755,2,0,"[0,0.0489268]",inventory_route_gini_relaxation,1,919,0.0978535771983,0,23.942728,4.0994397,6.2221144,3.9003736,30.4133135,581306,11917678
45.6330455,adaptive_split_child_2,0.0978535771983,0.0857032893135,0.12416805019,1,1,"[0.0489268,0.0978536]",inventory_route_gini_relaxation,1,919,0.0978535771983,0,45.6330455,4.0994397,6.7942796,3.9003736,30.4133135,581306,11917678
48.6082922,adaptive_split_child_3,0.0978535771983,0.0828384797832,0.153444542806,2,3,"[0.0244634,0.0489268]",inventory_route_gini_relaxation,2,919,0.0978535771983,0,45.6330455,4.0994397,9.7694949,3.9003736,30.4133135,581306,11917678
52.1185069,adaptive_split_child_4,0.0978535771983,0.0857032893135,0.12416805019,1,1,"[0.0489268,0.0978536]",inventory_route_gini_relaxation,1,919,0.0978535771983,0,45.6330455,4.0994397,13.2796689,3.9003736,30.4133135,581306,11917678
55.2061838,adaptive_split_child_5,0.0978535771983,0.0830902776048,0.15087133262,2,5,"[0.0366951,0.0489268]",inventory_route_gini_relaxation,2,919,0.0978535771983,0,45.6330455,4.0994397,16.3673124,3.9003736,30.4133135,581306,11917678
58.6442884,adaptive_split_child_6,0.0978535771983,0.0857032893135,0.12416805019,2,1,"[0.0489268,0.0978536]",inventory_route_gini_relaxation,2,919,0.0978535771983,0,45.6330455,4.0994397,19.8053776,3.9003736,30.4133135,581306,11917678
61.8723029,adaptive_split_child_7,0.0978535771983,0.0831487959907,0.150273312725,3,7,"[0.0428109,0.0489268]",inventory_route_gini_relaxation,3,919,0.0978535771983,0,45.6330455,4.0994397,23.0333568,3.9003736,30.4133135,581306,11917678
61.9756042,route_pool_before_final_summary,0.0978535771983,0.0831487959907,0.150273312725,3,7,"[0.0428109,0.0489268]",inventory_route_gini_relaxation,3,919,0.0978535771983,0,45.6330455,4.0994397,23.0333568,3.9003736,30.4133135,581306,11917678
61.9756653,final_summary,0.0978535771983,0.0831487959907,0.150273312725,3,7,"[0.0428109,0.0489268]",inventory_route_gini_relaxation,3,919,0.0978535771983,0,45.6330455,4.0994397,23.0333568,3.9003736,30.4133135,581306,11917678
