variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
all_improvements_v12_m1_3600,3600,12,0,aggregate,1,11,0
all_improvements_v12_m1_3600,3600,12,0,aggregate,2,2380,0
all_improvements_v12_m1_3600,3600,12,0,aggregate,3,181652,62598
all_improvements_v12_m1_3600,3600,12,0,aggregate,4,3237544,697308
all_improvements_v12_m1_3600,3600,12,0,aggregate,5,34357654,5089097
all_improvements_v12_m1_3600,3600,12,0,aggregate,6,260889479,29180240
all_improvements_v12_m1_3600,3600,12,0,aggregate,7,1480335678,135331520
all_improvements_v12_m1_3600,3600,12,0,aggregate,8,6173346796,492962517
all_improvements_v12_m1_3600,3600,12,0,aggregate,9,17726103674,1320745965
all_improvements_v12_m1_3600,3600,12,0,aggregate,10,30867551208,2317531169
all_improvements_v12_m1_3600,3600,12,0,aggregate,11,27051692915,2151239084
all_improvements_v12_m1_3600,3600,12,0,aggregate,12,8509020241,698486681
