parent_row,leaf_row,instance,gamma_L,gamma_U,status,lower_bound,upper_bound,gap,compact_bc_solver_status,compact_bc_best_bound,compact_bc_nodes,relaxation_callback_calls,branch_callback_calls,gini_branches_created,user_cuts_added,user_cuts_by_family,diagnostic_only,json
generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s,generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s_interval_0,reference\hard_compact_bc_diagnostics\diag_V12_M1_low_gini_hard_seed7101.txt,0,0.00742725444047,interval_closed,0.0297090177619,0.0297090177619,0,integer infeasible,1e+75,0,0,0,0,1295,gini_subset_envelope=596;low_gini_l1_centering=25;subset_inventory_imbalance=596;transfer_cutset=78;callback_gini_interval_cap=0;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s_auto_oracle\interval_0.json
generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s,generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s_interval_1,reference\hard_compact_bc_diagnostics\diag_V12_M1_low_gini_hard_seed7101.txt,0.00742725444047,0.0148545088809,interval_unresolved_timeout,0.0182649501473,0.0297090177619,0.385205182692,"time limit exceeded, no integer solution",0.0182649501473,574,661,314,2,1296,gini_subset_envelope=596;low_gini_l1_centering=25;subset_inventory_imbalance=596;transfer_cutset=78;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s_auto_oracle\interval_1.json
generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s,generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s_interval_2,reference\hard_compact_bc_diagnostics\diag_V12_M1_low_gini_hard_seed7101.txt,0.0148545088809,0.0222817633214,interval_unresolved_timeout,0.018793469,0.0297090177619,0.367415336628,"time limit exceeded, no integer solution",0.018793469,978,1455,717,2,1296,gini_subset_envelope=596;low_gini_l1_centering=25;subset_inventory_imbalance=596;transfer_cutset=78;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s_auto_oracle\interval_2.json
generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s,generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s_interval_3,reference\hard_compact_bc_diagnostics\diag_V12_M1_low_gini_hard_seed7101.txt,0.0222817633214,0.0297090177619,interval_closed,0.0297090177619,0.0297090177619,0,integer infeasible,1e+75,176,201,89,2,1296,gini_subset_envelope=596;low_gini_l1_centering=25;subset_inventory_imbalance=596;transfer_cutset=78;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s_auto_oracle\interval_3.json
generated_diag_V12_M2_tight_cutoff_hard_seed7102_tailored_20s,generated_diag_V12_M2_tight_cutoff_hard_seed7102_tailored_20s_interval_1,reference\hard_compact_bc_diagnostics\diag_V12_M2_tight_cutoff_hard_seed7102.txt,0.229166666667,0.458333333333,interval_unresolved_timeout,1.59485750225,1.65777317757,0.0379519201833,"time limit exceeded, no integer solution",1.59485750225,59,112,50,2,1374,gini_subset_envelope=596;low_gini_l1_centering=25;subset_inventory_imbalance=596;transfer_cutset=156;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_tailored_20s_auto_oracle\interval_1.json
generated_diag_V20_M2_high_transfer_seed7104_tailored_20s,generated_diag_V20_M2_high_transfer_seed7104_tailored_20s_interval_0,reference\hard_compact_bc_diagnostics\diag_V20_M2_high_transfer_seed7104.txt,0,0.146304771504,interval_closed,0.585219086017,0.585219086017,0,integer infeasible,1e+75,0,0,0,0,5861,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=420;callback_gini_interval_cap=0;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M2_high_transfer_seed7104_tailored_20s_auto_oracle\interval_0.json
generated_diag_V20_M2_high_transfer_seed7104_tailored_20s,generated_diag_V20_M2_high_transfer_seed7104_tailored_20s_interval_1,reference\hard_compact_bc_diagnostics\diag_V20_M2_high_transfer_seed7104.txt,0.146304771504,0.292609543009,interval_unresolved_timeout,0.422577704652,0.585219086017,0.277915374346,"time limit exceeded, no integer solution",0.422577704652,101,207,100,2,5862,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=420;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M2_high_transfer_seed7104_tailored_20s_auto_oracle\interval_1.json
generated_diag_V20_M2_high_transfer_seed7104_tailored_20s,generated_diag_V20_M2_high_transfer_seed7104_tailored_20s_interval_2,reference\hard_compact_bc_diagnostics\diag_V20_M2_high_transfer_seed7104.txt,0.292609543009,0.438914314513,interval_unresolved_timeout,0.533455993479,0.585219086017,0.0884507935138,"time limit exceeded, no integer solution",0.533455993479,125,235,114,2,5862,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=420;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M2_high_transfer_seed7104_tailored_20s_auto_oracle\interval_2.json
generated_diag_V20_M2_high_transfer_seed7104_tailored_20s,generated_diag_V20_M2_high_transfer_seed7104_tailored_20s_interval_3,reference\hard_compact_bc_diagnostics\diag_V20_M2_high_transfer_seed7104.txt,0.438914314513,0.585219086017,interval_closed,0.585219086017,0.585219086017,0,integer infeasible,1e+75,0,0,0,0,5861,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=420;callback_gini_interval_cap=0;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M2_high_transfer_seed7104_tailored_20s_auto_oracle\interval_3.json
generated_diag_V20_M3_dense_duration_seed7105_tailored_20s,generated_diag_V20_M3_dense_duration_seed7105_tailored_20s_interval_0,reference\hard_compact_bc_diagnostics\diag_V20_M3_dense_duration_seed7105.txt,0,0.0206402171405,interval_unresolved_timeout,0.0124732043479,0.082560868562,0.848921110386,"time limit exceeded, no integer solution",0.0124732043479,20,46,20,2,6072,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M3_dense_duration_seed7105_tailored_20s_auto_oracle\interval_0.json
