file,method,algorithm_preset,status,cplex_threads,mip_threads,compact_bc_solver_threads,solver_thread_policy,thread_fairness_class,audit_passed,failures
results\gf_tailored_bc_callback_round\raw\certificate_basis_test.json,certificate-basis-test,custom,diagnostic_passed,0,0,0,,unknown_not_paper,True,
results\gf_tailored_bc_callback_round\raw\gini-subset-envelope-test.json,gini-subset-envelope-test,paper-gf-tailored-bc,diagnostic_passed,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_callback_round\raw\interval_callback_separator_diagnostic.json,interval-cutoff-oracle,custom,interval_feasible_improving_ub,0,1,0,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_callback_round\raw\interval_callback_smoke.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_feasible_improving_ub,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_callback_round\raw\low-gini-l1-centering-test.json,low-gini-l1-centering-test,paper-gf-tailored-bc,diagnostic_passed,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_callback_round\raw\moderate_seed3301_low_gini1_callback_guarded.json,interval-cutoff-oracle,paper-gf-tailored-bc,diagnostic_timeout,0,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_callback_round\raw\option_consistency_test.json,option-consistency-test,custom,diagnostic_complete,0,0,0,,unknown_not_paper,True,
results\gf_tailored_bc_callback_round\raw\s-bucket-coverage-test.json,s-bucket-coverage-test,paper-gf-tailored-bc,diagnostic_passed,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_callback_round\raw\smoke_paper_gf_tailored_bc_20s.json,gcap-frontier,paper-gf-tailored-bc,optimal,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_callback_round\raw\tailored-bc-branch-callback-smoke-test.json,tailored-bc-branch-callback-smoke-test,paper-gf-tailored-bc,diagnostic_branch_not_observed,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_callback_round\raw\tailored-bc-callback-smoke-test.json,tailored-bc-callback-smoke-test,paper-gf-tailored-bc,diagnostic_passed,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_callback_round\raw\tailored-bc-cut-validity-test.json,tailored-bc-cut-validity-test,paper-gf-tailored-bc,diagnostic_passed,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_callback_round\raw\transfer-cutset-validity-test.json,transfer-cutset-validity-test,paper-gf-tailored-bc,diagnostic_passed,0,1,1,compact_bc_single_thread,one_thread_fair,True,
