row,instance,status,certified_original_problem,lower_bound,upper_bound,gap,runtime_seconds,timeout,tailored_bc_callback_available,tailored_bc_relaxation_callback_calls,tailored_bc_branch_callback_calls,tailored_bc_user_cuts_added_total,finalization_source,generated_child_interval_rows,generated_child_callback_rows,generated_child_relaxation_callback_calls,generated_child_branch_callback_calls,generated_child_user_cuts_added,generated_child_closed_leaf_count,generated_child_timed_out_leaf_count,generated_child_best_lower_bound,diagnostic_only,paper_certificate_contamination,json
fullpreset_moderate_seed3301_tailored_callback_120s,reference\hard_stress\V20_M3\moderate_seed3301.txt,gcap_frontier_not_closed,False,0.044445,0.0491525526647,0.0957743272634,122.009,False,True,0,0,24284,,4,4,2659,1293,24287,2,2,0.0491525526647,True,False,results\gf_tailored_bc_callback_round\raw\fullpreset_moderate_seed3301_tailored_callback_120s.json
fullpreset_high_imbalance_seed3201_tailored_callback_120s,reference\hard_stress\V20_M3\high_imbalance_seed3201.txt,gcap_frontier_not_closed,False,2.279,2.44340319194,0.0672845122268,120.399,False,True,0,0,18213,,3,3,3415,1691,18216,1,2,2.44340319194,True,False,results\gf_tailored_bc_callback_round\raw\fullpreset_high_imbalance_seed3201_tailored_callback_120s.json
fullpreset_tight_T_seed3102_tailored_callback_120s,reference\hard_stress\V20_M3\tight_T_seed3102.txt,gcap_frontier_not_closed,False,0.450528327514,0.600704436685,0.25,132.76,False,True,0,0,24284,,4,4,3711,1831,24287,1,2,0.600704436685,True,False,results\gf_tailored_bc_callback_round\raw\fullpreset_tight_T_seed3102_tailored_callback_120s.json
fullpreset_moderate_seed3302_tailored_callback_120s,reference\hard_stress\V20_M3\moderate_seed3302.txt,gcap_frontier_not_closed,False,0.116666,0.195636206549,0.403658443097,120.187,False,True,0,0,18213,,3,3,976,476,18216,0,3,0.167783850049,True,False,results\gf_tailored_bc_callback_round\raw\fullpreset_moderate_seed3302_tailored_callback_120s.json
