file,method,algorithm_preset,status,thread_fairness_class,time_budget_seconds,progress_log,compact_bc_enabled_families_effective,compact_bc_diagnostic_force_leaf_solve,compact_bc_low_gini_aggressive_diagnostic,audit_passed,failures
results\gf_tailored_bc_callback_round\raw\certificate_basis_test.json,certificate-basis-test,custom,diagnostic_passed,unknown_not_paper,1000,,,False,False,True,
results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s.json,gcap-frontier,paper-gf-tailored-bc,gcap_frontier_not_closed,one_thread_fair,20,E:\codes\ExactEBRP\results\gf_tailored_bc_callback_round\progress_traces\generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s.progress.csv,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|gini_subset_envelope|low_gini_l1_centering|subset_inventory_imbalance|vehicle_transfer_cutset|support_duration|transfer_compat,False,False,True,
results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s_auto_oracle\interval_0.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,one_thread_fair,20,,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s_auto_oracle\interval_1.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,one_thread_fair,20,,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s_auto_oracle\interval_2.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,one_thread_fair,20,,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s_auto_oracle\interval_3.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,one_thread_fair,20,,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_tailored_20s.json,gcap-frontier,paper-gf-tailored-bc,gcap_frontier_not_closed,one_thread_fair,20,E:\codes\ExactEBRP\results\gf_tailored_bc_callback_round\progress_traces\generated_diag_V12_M2_tight_cutoff_hard_seed7102_tailored_20s.progress.csv,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|gini_subset_envelope|low_gini_l1_centering|subset_inventory_imbalance|vehicle_transfer_cutset|support_duration|transfer_compat,False,False,True,
results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_tailored_20s_auto_oracle\interval_1.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,one_thread_fair,20,,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_callback_round\raw\generated_diag_V16_M2_balanced_fractional_seed7103_tailored_20s.json,gcap-frontier,paper-gf-tailored-bc,optimal,one_thread_fair,20,E:\codes\ExactEBRP\results\gf_tailored_bc_callback_round\progress_traces\generated_diag_V16_M2_balanced_fractional_seed7103_tailored_20s.progress.csv,,False,False,True,
results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M2_high_transfer_seed7104_tailored_20s.json,gcap-frontier,paper-gf-tailored-bc,gcap_frontier_not_closed,one_thread_fair,20,E:\codes\ExactEBRP\results\gf_tailored_bc_callback_round\progress_traces\generated_diag_V20_M2_high_transfer_seed7104_tailored_20s.progress.csv,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|gini_subset_envelope|low_gini_l1_centering|subset_inventory_imbalance|vehicle_transfer_cutset|support_duration|transfer_compat,False,False,True,
