mode,callback_available,gini_branching_status,branch_callback_calls,gini_branches_created,certificate_role,lower_bound,gap
callback_toy_smoke,True,branch_callback_created_gini_branches,6053,2,none,,
callback_hard_leaf,True,hard_leaf_branch_callback_created_gini_branches,76,2,diagnostic_hard_leaf_only,,
callback_hard_leaf_low_gini2_60s,True,hard_leaf_branch_callback_created_gini_branches,2375,2,diagnostic_hard_leaf_only,0.0489209015481,0.00471290104112
selector_or_outer_controller,True,not_exercised_in_this_increment,0,0,none,,
