parent_row,leaf_row,instance,gamma_L,gamma_U,status,lower_bound,upper_bound,gap,compact_bc_solver_status,compact_bc_best_bound,compact_bc_nodes,relaxation_callback_calls,branch_callback_calls,gini_branches_created,user_cuts_added,user_cuts_by_family,diagnostic_only,json
fullpreset_moderate_seed3301_tailored_callback_120s,fullpreset_moderate_seed3301_tailored_callback_120s_interval_1,reference\hard_stress\V20_M3\moderate_seed3301.txt,0.0122881381662,0.0245762763324,interval_unresolved_timeout,0.044445069196,0.0491525526647,0.0957729194838,"time limit exceeded, no integer solution",0.044445069196,896,1395,684,2,6072,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\fullpreset_moderate_seed3301_tailored_callback_120s_auto_oracle\interval_1.json
fullpreset_moderate_seed3301_tailored_callback_120s,fullpreset_moderate_seed3301_tailored_callback_120s_interval_2,reference\hard_stress\V20_M3\moderate_seed3301.txt,0.0245762763324,0.0368644144986,interval_unresolved_timeout,0.0485724414863,0.0491525526647,0.011802259436,"time limit exceeded, no integer solution",0.0485724414863,766,1121,542,2,6072,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\fullpreset_moderate_seed3301_tailored_callback_120s_auto_oracle\interval_2.json
fullpreset_moderate_seed3301_tailored_callback_120s,fullpreset_moderate_seed3301_tailored_callback_120s_interval_3,reference\hard_stress\V20_M3\moderate_seed3301.txt,0.0368644144986,0.0491525526647,interval_closed,0.0491525526647,0.0491525526647,0,integer infeasible,1e+75,0,0,0,0,6071,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;callback_gini_interval_cap=0;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\fullpreset_moderate_seed3301_tailored_callback_120s_auto_oracle\interval_3.json
fullpreset_moderate_seed3301_tailored_callback_120s,fullpreset_moderate_seed3301_tailored_callback_120s_interval_5,reference\hard_stress\V20_M3\moderate_seed3301.txt,0.00614406908309,0.0122881381662,interval_closed,0.0491525526647,0.0491525526647,0,integer infeasible,1e+75,135,143,67,2,6072,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\fullpreset_moderate_seed3301_tailored_callback_120s_auto_oracle\interval_5.json
fullpreset_high_imbalance_seed3201_tailored_callback_120s,fullpreset_high_imbalance_seed3201_tailored_callback_120s_interval_1,reference\hard_stress\V20_M3\high_imbalance_seed3201.txt,0.2375,0.475,interval_unresolved_timeout,2.2961083751,2.44340319194,0.0602826489402,"time limit exceeded, no integer solution",2.2961083751,855,1629,805,2,6072,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\fullpreset_high_imbalance_seed3201_tailored_callback_120s_auto_oracle\interval_1.json
fullpreset_high_imbalance_seed3201_tailored_callback_120s,fullpreset_high_imbalance_seed3201_tailored_callback_120s_interval_2,reference\hard_stress\V20_M3\high_imbalance_seed3201.txt,0.475,0.7125,interval_unresolved_timeout,2.27899956737,2.44340319194,0.0672846892865,"time limit exceeded, no integer solution",2.27899956737,935,1786,886,2,6073,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;callback_gini_interval_cap=1;callback_visit_inventory_linking=1;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\fullpreset_high_imbalance_seed3201_tailored_callback_120s_auto_oracle\interval_2.json
fullpreset_high_imbalance_seed3201_tailored_callback_120s,fullpreset_high_imbalance_seed3201_tailored_callback_120s_interval_3,reference\hard_stress\V20_M3\high_imbalance_seed3201.txt,0.7125,0.95,interval_closed,2.44340319194,2.44340319194,0,integer infeasible,1e+75,0,0,0,0,6071,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;callback_gini_interval_cap=0;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\fullpreset_high_imbalance_seed3201_tailored_callback_120s_auto_oracle\interval_3.json
fullpreset_tight_T_seed3102_tailored_callback_120s,fullpreset_tight_T_seed3102_tailored_callback_120s_interval_1,reference\hard_stress\V20_M3\tight_T_seed3102.txt,0.150176109171,0.300352218343,interval_unresolved_timeout,0.518814088421,0.600704436685,0.136323861226,"time limit exceeded, no integer solution",0.518814088421,1432,2729,1350,2,6072,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\fullpreset_tight_T_seed3102_tailored_callback_120s_auto_oracle\interval_1.json
fullpreset_tight_T_seed3102_tailored_callback_120s,fullpreset_tight_T_seed3102_tailored_callback_120s_interval_2,reference\hard_stress\V20_M3\tight_T_seed3102.txt,0.300352218343,0.450528327514,interval_closed,0.600704436685,0.600704436685,0,integer infeasible,1e+75,0,0,0,0,6071,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;callback_gini_interval_cap=0;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0,True,results\gf_tailored_bc_callback_round\raw\fullpreset_tight_T_seed3102_tailored_callback_120s_auto_oracle\interval_2.json
fullpreset_tight_T_seed3102_tailored_callback_120s,fullpreset_tight_T_seed3102_tailored_callback_120s_interval_3,reference\hard_stress\V20_M3\tight_T_seed3102.txt,0.450528327514,0.600704436685,interval_unresolved,0,0.600704436685,1,optimal,0,0,0,0,0,6071,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630,True,results\gf_tailored_bc_callback_round\raw\fullpreset_tight_T_seed3102_tailored_callback_120s_auto_oracle\interval_3.json
