row,selected_for_summary,certified_original_problem,row_certificate_source_class,compact_bc_called_this_row,compact_bc_called_any_child,parent_row_compact_bc_called_any_leaf,leaf_solver_row,compact_bc_child_rows_found,compact_bc_child_rows_aggregated,compact_bc_diagnostic_only,paper_certificate_contamination,inconsistent_source_label_detected
tailored-bc-callback-smoke-test,false,False,diagnostic,true,false,false,true,0,0,true,false,false
tailored-bc-branch-callback-smoke-test,false,False,diagnostic,true,false,false,true,0,0,true,false,false
tailored-bc-cut-validity-test,false,False,diagnostic,true,false,false,true,0,0,true,false,false
gini-subset-envelope-test,false,False,diagnostic,true,false,false,true,0,0,true,false,false
low-gini-l1-centering-test,false,False,diagnostic,true,false,false,true,0,0,true,false,false
transfer-cutset-validity-test,false,False,diagnostic,true,false,false,true,0,0,true,false,false
s-bucket-coverage-test,false,False,diagnostic,true,false,false,true,0,0,true,false,false
smoke_paper_gf_tailored_bc_20s,true,True,relaxation_only,true,false,false,false,0,0,false,false,false
regression_v12_m1_tailored_300s,true,False,tailored_bc_assisted_noncertified,true,false,false,false,0,0,false,false,false
regression_v12_m1_tailored_1200s,true,False,tailored_bc_assisted_noncertified,true,false,false,false,0,0,false,false,false
regression_v12_m1_tailored_3600s,true,False,tailored_bc_assisted_noncertified,true,false,false,false,0,0,false,false,false
regression_v12_m2_tailored_300s,true,True,relaxation_only,true,false,false,false,0,0,false,false,false
regression_tight_T_seed3101_tailored_300s,true,True,relaxation_only,true,false,false,false,0,0,false,false,false
regression_high_imbalance_seed3202_tailored_1200s,true,True,relaxation_only,true,false,false,false,0,0,false,false,false
interval_callback_smoke,false,False,tailored_bc_assisted_noncertified,true,false,false,false,0,0,true,false,false
interval_callback_separator_diagnostic,false,False,tailored_bc_assisted_noncertified,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini1_callback_guarded,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini1_callback_minimal_short3,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini1_callback_gini_off_short3,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini1_callback_gini_selector_short3,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini2_callback_gini_off_short3,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini2_callback_gini_auto_short3,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini2_callback_gini_selector_short3,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini2_callback_gini_off_60s,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini2_callback_gini_auto_60s,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini2_callback_gini_selector_60s,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini1_callback_gini_auto_60s,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini1_callback_gini_selector_60s,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini1_callback_gini_auto_300s,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini1_callback_gini_auto_1200s,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini2_callback_gini_auto_300s,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
moderate_seed3301_low_gini2_callback_gini_selector_300s,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
generated_diag_V12_M1_low_gini_hard_seed7101_tailored_20s,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
generated_diag_V12_M2_tight_cutoff_hard_seed7102_tailored_20s,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
generated_diag_V16_M2_balanced_fractional_seed7103_tailored_20s,false,True,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
generated_diag_V20_M2_high_transfer_seed7104_tailored_20s,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
generated_diag_V20_M3_dense_duration_seed7105_tailored_20s,false,False,compact_bc_leaf_diagnostic,true,false,false,false,0,0,true,false,false
