comparison_group,row_type,variant,budget_seconds,status,lower_bound,upper_bound,gap,gap_to_cutoff,nodes,json,gini_branch_mode,branch_callback_calls,gini_branches_created,plain_cplex_role,tailored_bc_role,diagnostic_only
moderate_seed3301_low_gini1_60s,baseline_from_gf_compact_bc_effectiveness_round3,tailored,60,interval_unresolved_timeout,0.044542850351,0.0491525526647,0.0937835791591,0.0046096923137,1947,results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\moderate_seed3301_low_gini_1_tailored_60s.json,not_applicable,0,0,static_compact_bc_baseline,baseline,True
moderate_seed3301_low_gini2_60s,baseline_from_gf_compact_bc_effectiveness_round3,plain,60,interval_unresolved_timeout,0.048865350278,0.0491525526647,0.0058430818163,0.0002871923867,3467,results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\moderate_seed3301_low_gini_2_plain_60s.json,not_applicable,0,0,benchmark_only,baseline,True
moderate_seed3301_low_gini2_60s,baseline_from_gf_compact_bc_effectiveness_round3,tailored,60,interval_unresolved_timeout,0.048809709088,0.0491525526647,0.00697509199652,0.0003428335767,2460,results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\moderate_seed3301_low_gini_2_tailored_60s.json,not_applicable,0,0,static_compact_bc_baseline,baseline,True
tight_T_seed3102_hard_300s,baseline_from_gf_compact_bc_effectiveness_round3,plain,300,interval_unresolved_timeout,0.31218971032,0.600704436685,0.480293982773,0.288514716365,19653,results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\tight_T_seed3102_hard_plain_300s.json,not_applicable,0,0,benchmark_only,baseline,True
tight_T_seed3102_hard_60s,baseline_from_gf_compact_bc_effectiveness_round3,plain,60,interval_unresolved_timeout,0.29862985358,0.600704436685,0.502867241621,0.302074573105,3342,results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\tight_T_seed3102_hard_plain_60s.json,not_applicable,0,0,benchmark_only,baseline,True
tight_T_seed3102_hard_300s,baseline_from_gf_compact_bc_effectiveness_round3,tailored,300,interval_unresolved_timeout,0.5284969862,0.600704436685,0.120204623231,0.072207440485,5995,results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\tight_T_seed3102_hard_tailored_300s.json,not_applicable,0,0,static_compact_bc_baseline,baseline,True
tight_T_seed3102_hard_60s,baseline_from_gf_compact_bc_effectiveness_round3,tailored,60,interval_unresolved_timeout,0.52209714526,0.600704436685,0.130858516476,0.078607281425,1850,results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\tight_T_seed3102_hard_tailored_60s.json,not_applicable,0,0,static_compact_bc_baseline,baseline,True
moderate_seed3302_hard_60s,matched_interval_baseline_current_callback_round,plain,60,interval_unresolved_timeout,0.14351300205,0.195636206549,0.26642923321,0.05212320449899999,1554,results\gf_tailored_bc_callback_round\raw\moderate_seed3302_hard_matched_plain_60s.json,not_applicable,0,0,benchmark_only,baseline,True
moderate_seed3302_hard_300s,matched_interval_baseline_current_callback_round,plain,300,interval_unresolved_timeout,0.14433212622,0.195636206549,0.26224225686,0.051304080328999996,7438,results\gf_tailored_bc_callback_round\raw\moderate_seed3302_hard_matched_plain_300s.json,not_applicable,0,0,benchmark_only,baseline,True
moderate_seed3302_hard_60s,matched_interval_baseline_current_callback_round,static_tailored,60,interval_unresolved_timeout,0.14358445127,0.195636206549,0.266064018502,0.052051755278999995,1634,results\gf_tailored_bc_callback_round\raw\moderate_seed3302_hard_matched_static_tailored_60s.json,not_applicable,0,0,static_compact_bc_baseline,baseline,True
moderate_seed3302_hard_300s,matched_interval_baseline_current_callback_round,static_tailored,300,interval_unresolved_timeout,0.14462882586,0.195636206549,0.260725668263,0.05100738068899999,3099,results\gf_tailored_bc_callback_round\raw\moderate_seed3302_hard_matched_static_tailored_300s.json,not_applicable,0,0,static_compact_bc_baseline,baseline,True
generated_diag_V12_M2_tight_cutoff_leaf1_60s,generated_hard_interval_current_callback_round,plain,60,interval_closed,1.65777317756,1.65777317757,0,1.000000082740371e-11,2624,results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M2_tight_cutoff_leaf1_plain_60s.json,off,0,0,benchmark_only,plain,True
generated_diag_V12_M2_tight_cutoff_leaf1_60s,generated_hard_interval_current_callback_round,static_tailored,60,interval_closed,1.65777317756,1.65777317757,0,1.000000082740371e-11,832,results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M2_tight_cutoff_leaf1_static_tailored_60s.json,off,0,0,not_plain_cplex,static_tailored,True
generated_diag_V12_M2_tight_cutoff_leaf1_60s,generated_hard_interval_current_callback_round,callback_basic,60,interval_unresolved_timeout,1.63056304007,1.65777317757,0.0164136673611,0.02721013750000001,11936,results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M2_tight_cutoff_leaf1_callback_basic_60s.json,branch_callback,7872,2,not_plain_cplex,callback_basic,True
generated_diag_V12_M2_tight_cutoff_leaf1_60s,generated_hard_interval_current_callback_round,callback_gini_auto,60,interval_unresolved_timeout,1.63052765236,1.65777317757,0.0164350138969,0.0272455252099999,11849,results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M2_tight_cutoff_leaf1_callback_gini_auto_60s.json,branch_callback,7828,2,not_plain_cplex,callback_gini_auto,True
generated_diag_V12_M2_tight_cutoff_leaf1_300s,generated_hard_interval_current_callback_round,plain,300,interval_closed,1.65777317756,1.65777317757,0,1.000000082740371e-11,2624,results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M2_tight_cutoff_leaf1_plain_300s.json,off,0,0,benchmark_only,plain,True
generated_diag_V12_M2_tight_cutoff_leaf1_300s,generated_hard_interval_current_callback_round,static_tailored,300,interval_closed,1.65777317756,1.65777317757,0,1.000000082740371e-11,832,results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M2_tight_cutoff_leaf1_static_tailored_300s.json,off,0,0,not_plain_cplex,static_tailored,True
generated_diag_V12_M2_tight_cutoff_leaf1_300s,generated_hard_interval_current_callback_round,callback_basic,300,interval_unresolved_timeout,1.64337746662,1.65777317757,0.00868376394337,0.014395710949999918,56977,results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M2_tight_cutoff_leaf1_callback_basic_300s.json,branch_callback,31348,2,not_plain_cplex,callback_basic,True
generated_diag_V12_M2_tight_cutoff_leaf1_300s,generated_hard_interval_current_callback_round,callback_gini_auto,300,interval_unresolved_timeout,1.64039270207,1.65777317757,0.010484230133,0.017380475499999992,44581,results\gf_tailored_bc_callback_round\raw\generated_diag_V12_M2_tight_cutoff_leaf1_callback_gini_auto_300s.json,branch_callback,25321,2,not_plain_cplex,callback_gini_auto,True
