row,classification,instance_name,method,algorithm_preset,status,certified_original_problem,objective,lower_bound,upper_bound,gap,runtime_seconds,unresolved_intervals,open_nodes,compact_interval_bc_closed_leaves,compact_interval_bc_timed_out_leaves,compact_bc_total_cuts_added_by_family,compact_bc_total_domains_tightened_by_family,compact_bc_total_root_cut_rounds,compact_bc_total_leaf_nodes,compact_bc_total_solver_time,cplex_threads,mip_threads,compact_bc_solver_threads,thread_fairness_class,finalization_source,abnormal_exit_reason
cplex1_v12_m1_300s,cplex_benchmark,regen_candidate_V12_M1_average.txt,cplex,custom,optimal,True,0.357200583208,0.357200583208,0.357200583208,0,185.0503871,0,0,0,0,,,0,0,0,1,0,0,one_thread_fair,solver_final_json,none
cplex1_v12_m2_300s,cplex_benchmark,regen_candidate_V12_M2_average.txt,cplex,custom,not_certified,False,0.72439493548,0.62349875281,0.72439493548,0.139283390494,300.1084314,0,0,0,0,,,0,0,0,1,0,0,one_thread_fair,solver_final_json,none
cplex1_high_imbalance_seed3202_300s,cplex_benchmark,high_imbalance_seed3202.txt,cplex,custom,not_certified,False,2.84302481605,1.065564977,2.84302481605,0.625200254678,300.1192968,0,0,0,0,,,0,0,0,1,0,0,one_thread_fair,solver_final_json,none
cplex1_tight_T_seed3101_300s,cplex_benchmark,tight_T_seed3101.txt,cplex,custom,not_certified,False,0.161002628944,0.015858939732,0.161002628944,0.901498877155,300.1141094,0,0,0,0,,,0,0,0,1,0,0,one_thread_fair,solver_final_json,none
cplex1_moderate_seed3301_300s,cplex_benchmark,moderate_seed3301.txt,cplex,custom,not_certified,False,0.067964387971,0.037866383531,0.067964387971,0.442849635501,300.2305325,0,0,0,0,,,0,0,0,1,0,0,one_thread_fair,solver_final_json,none
cplex1_tight_T_seed3102_300s,cplex_benchmark,tight_T_seed3102.txt,cplex,custom,not_certified,False,0.637668274359,0.46597693577,0.637668274359,0.269248675986,300.1142745,0,0,0,0,,,0,0,0,1,0,0,one_thread_fair,solver_final_json,none
cplex1_high_imbalance_seed3201_300s,cplex_benchmark,high_imbalance_seed3201.txt,cplex,custom,not_certified,False,2.55478672027,1.9775993942,2.55478672027,0.225923879082,300.1127109,0,0,0,0,,,0,0,0,1,0,0,one_thread_fair,solver_final_json,none
cplex1_large_v50_moderate_300s,cplex_benchmark,V50_M3_moderate_seed5101.txt,cplex,custom,not_certified,False,1.37151140999,0.23958431171,1.37151140999,0.825313657644,300.2080831,0,0,0,0,,,0,0,0,1,0,0,one_thread_fair,solver_final_json,none
cplex1_large_v100_moderate_300s,cplex_benchmark,V100_M5_moderate_seed6101.txt,cplex,custom,not_certified,False,1.71629103286,0.26390305929,1.71629103286,0.846236416647,304.7170642,0,0,0,0,,,0,0,0,1,0,0,one_thread_fair,solver_final_json,none
