row,classification,instance_name,method,algorithm_preset,status,certified_original_problem,objective,lower_bound,upper_bound,gap,runtime_seconds,unresolved_intervals,open_nodes,compact_interval_bc_closed_leaves,compact_interval_bc_timed_out_leaves,compact_bc_total_cuts_added_by_family,compact_bc_total_domains_tightened_by_family,compact_bc_total_root_cut_rounds,compact_bc_total_leaf_nodes,compact_bc_total_solver_time,cplex_threads,mip_threads,compact_bc_solver_threads,thread_fairness_class,finalization_source,abnormal_exit_reason
large_v50_moderate_300s,paper,V50_M3_moderate_seed5101.txt,gcap-frontier,paper-gf-compact-bc,error_noncertified,False,0.0,0.0,0.0,1.0,0.0,0,0,,,,,,,,0,1,1,one_thread_fair,wrapper_error_json,std::bad_alloc
large_v100_moderate_300s,paper,V100_M5_moderate_seed6101.txt,gcap-frontier,paper-gf-compact-bc,error_noncertified,False,0.0,0.0,0.0,1.0,0.0,0,0,,,,,,,,0,1,1,one_thread_fair,wrapper_error_json,std::bad_alloc
