file,method,algorithm_preset,status,thread_fairness_class,compact_bc_enabled_families_effective,audit_passed,failures
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,none,True,
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_2.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_3.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_4.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_5.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,none,True,
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_1.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_2.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_3.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_5.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
