file,instance_name,algorithm_preset,method,status,certified_original_problem,objective,lower_bound,upper_bound,gap,runtime_seconds,unresolved_intervals,invalid_bound_intervals,open_nodes,compact_interval_bc_enabled,compact_interval_bc_closed_leaves,compact_interval_bc_timed_out_leaves,compact_bc_bound_valid,compact_bc_bound_scope,compact_bc_certificate_valid,compact_bc_enabled_families_requested,compact_bc_enabled_families_effective,compact_bc_total_cuts_added_by_family,compact_bc_total_domains_tightened_by_family,compact_bc_total_root_cut_rounds,compact_bc_total_leaf_nodes,compact_bc_total_solver_time,cplex_threads,mip_threads,compact_bc_solver_threads,solver_thread_policy,thread_fairness_class,ablation_variant_semantics,certificate_uses_bpc_tree,no_archive_scanning,no_external_known_ub
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,1.74931345205,1.148927,1.74931345205,0.343212619412,78.2794587,3,0,2,True,1,3,True,original_fixed_interval,False,none,none,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,movement_reachability=0;low_gini_ratio_band_domains=4,0,1929,15.5162904,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_2.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,1.1489267014,1.74931345205,0.343212790107,5.0946796,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,penalty_domains=1;movement_reachability=0;domain_width_before=684;domain_width_after=666,0,0,5.0946796,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_3.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,1.3498879649,1.74931345205,0.228332713432,5.0912421,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,penalty_domains=1;movement_reachability=0;domain_width_before=684;domain_width_after=663,0,0,5.0912421,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_4.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,1.74931345205,1.74931345205,0,0.2405109,0,0,0,True,1,0,True,original_fixed_interval,False,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,penalty_domains=1;movement_reachability=0;domain_width_before=684;domain_width_after=670,0,0,0.2405109,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_5.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,1.5618271603,1.74931345205,0.107177070828,5.0898578,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,penalty_domains=1;movement_reachability=0;domain_width_before=684;domain_width_after=668,0,0,5.0898578,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s.json,moderate_seed3301.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,0.0491525526647,0.043246,0.0491525526647,0.120167770432,68.8345173,2,0,1,True,2,2,True,original_fixed_interval,False,none,none,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,movement_reachability=0;low_gini_ratio_band_domains=37,0,1677,11.5553951,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_1.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.043245762049,0.0491525526647,0.120172611503,5.1019064,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,penalty_domains=10;movement_reachability=0;domain_width_before=684;domain_width_after=574,0,0,5.1019064,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_2.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.048033461411,0.0491525526647,0.0227677138434,5.06143,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,penalty_domains=17;movement_reachability=0;domain_width_before=684;domain_width_after=530,0,0,5.06143,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_3.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.0491525526647,0.0491525526647,0,0.3545679,0,0,0,True,1,0,True,original_fixed_interval,False,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,penalty_domains=27;movement_reachability=0;domain_width_before=684;domain_width_after=386,0,0,0.3545679,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_5.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.0491525526647,0.0491525526647,0,1.0374908,0,0,0,True,1,0,True,original_fixed_interval,False,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,penalty_domains=9;movement_reachability=0;domain_width_before=684;domain_width_after=583,0,0,1.0374908,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
