row,ablation_variant,paper_or_diagnostic,instance_name,status,certified_original_problem,lower_bound,upper_bound,gap,runtime_seconds,compact_interval_bc_closed_leaves,compact_interval_bc_timed_out_leaves,unresolved_intervals,compact_bc_enabled_families_effective,compact_bc_total_cuts_added_by_family,compact_bc_total_domains_tightened_by_family,compact_bc_total_root_cut_rounds,compact_bc_solver_threads,thread_fairness_class
ablation_v12_m2_no_new_cuts_60s,no_new_cuts,diagnostic,regen_candidate_V12_M2_average.txt,gcap_frontier_not_closed,False,0.649065,0.718504070755,0.0966439489786,60.7050625,1,1,1,none,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,movement_reachability=0;low_gini_ratio_band_domains=1,0,1,one_thread_fair
ablation_high_imbalance_seed3202_no_new_cuts_60s,no_new_cuts,diagnostic,high_imbalance_seed3202.txt,gcap_frontier_not_closed,False,1.148927,1.74931345205,0.343212619412,78.2794587,1,3,3,none,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,movement_reachability=0;low_gini_ratio_band_domains=4,0,1,one_thread_fair
ablation_tight_T_seed3101_no_new_cuts_60s,no_new_cuts,diagnostic,tight_T_seed3101.txt,gcap_frontier_not_closed,False,0.029473,0.107252734134,0.725200478683,69.3332869,0,4,4,none,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,movement_reachability=0;low_gini_ratio_band_domains=36,0,1,one_thread_fair
ablation_moderate_seed3301_no_new_cuts_60s,no_new_cuts,diagnostic,moderate_seed3301.txt,gcap_frontier_not_closed,False,0.043246,0.0491525526647,0.120167770432,68.8345173,2,2,2,none,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,movement_reachability=0;low_gini_ratio_band_domains=37,0,1,one_thread_fair
ablation_v12_m2_dynamic_root_60s,all_safe_dynamic_root_diagnostic,diagnostic,regen_candidate_V12_M2_average.txt,gcap_frontier_not_closed,False,0.653506,0.718504070755,0.090463051499,60.4957513,1,1,1,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap=2;direct_gini_floor=2;tight_mccormick=592;inventory_conservation=4;visit_inventory_linking=48;objective_estimator_cutoff=2;penalty_lb=2;gini_spread=132;required_movement=0;global_handling_capacity=2;support_duration_pair=264;support_duration_triple=880;transfer_compat=48;receiver_source_cover=0,movement_reachability=23;low_gini_ratio_band_domains=22,2,1,one_thread_fair
ablation_moderate_seed3301_receiver_singleton_60s,receiver_source_cover_singleton_paper_safe,diagnostic,moderate_seed3301.txt,gcap_frontier_not_closed,False,0.043381,0.0491525526647,0.117421219283,67.6855649,2,2,2,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat|receiver_source_cover,direct_gini_cap=4;direct_gini_floor=4;tight_mccormick=1808;inventory_conservation=8;visit_inventory_linking=160;objective_estimator_cutoff=4;penalty_lb=4;gini_spread=760;required_movement=20;global_handling_capacity=4;support_duration_pair=2280;support_duration_triple=13680;transfer_compat=240;receiver_source_cover=9,movement_reachability=17;low_gini_ratio_band_domains=52,0,1,one_thread_fair
v12_m2_300s,all_safe_static,paper,regen_candidate_V12_M2_average.txt,optimal,True,0.718504070755,0.718504070755,0,289.5303616,0,0,0,,,,0,1,one_thread_fair
high_imbalance_seed3202_300s,all_safe_static,paper,high_imbalance_seed3202.txt,gcap_frontier_not_closed,False,1.619911,1.74931345205,0.0739732790021,311.3100387,0,1,1,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=436;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0,movement_reachability=13;low_gini_ratio_band_domains=13,0,1,one_thread_fair
tight_T_seed3101_300s,all_safe_static,paper,tight_T_seed3101.txt,optimal,True,0.107252734134,0.107252734134,0,77.1984276,0,0,0,,,,0,1,one_thread_fair
moderate_seed3301_baseline_300s,all_safe_static,paper,moderate_seed3301.txt,gcap_frontier_not_closed,False,0.046285,0.0491525526647,0.058339852343,300.470355,4,2,2,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap=6;direct_gini_floor=6;tight_mccormick=2712;inventory_conservation=12;visit_inventory_linking=240;objective_estimator_cutoff=6;penalty_lb=6;gini_spread=1140;required_movement=29;global_handling_capacity=6;support_duration_pair=3420;support_duration_triple=20520;transfer_compat=360;receiver_source_cover=0,movement_reachability=27;low_gini_ratio_band_domains=75,0,1,one_thread_fair
