source_csv,interval_id,gamma_L,gamma_U,status,certificate_basis,solver_status,proven_infeasible,feasible_improving,timeout,best_bound,objective,runtime_seconds,depth,parent_id,time_limit_used,budget_policy,model_type,bound_valid,bound_scope,can_merge_bound,gap_to_cutoff,bound_used_for_merge,closed_by_bound,gini_spread_cuts_added,required_movement_lb,required_movement_cuts_added,global_handling_capacity_lb,global_handling_capacity_cuts_added,transfer_subset_capacity_cuts_added,low_gini_ratio_band_domains_tightened,direct_gini_cap_rows,tight_mccormick_rows,inventory_conservation_rows,movement_reachability_domains,visit_inventory_linking_rows,objective_estimator_cutoff_rows,penalty_lb,support_duration_pair_cuts,support_duration_triple_cuts,transfer_compatibility_cuts,receiver_source_cover_cuts,oracle_strengthening_families_enabled,json_path,lp_path,log_path
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s.auto_oracle.csv,2,0.475,0.7125,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,1.1489267014,0,5.0946796,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.600386740651,1.1489267014,false,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_2.json,results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_2.lp,results\interval_cutoff_work\high_imbalance_seed3202_interval_cutoff_475000000_712500000_1074139547\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s.auto_oracle.csv,3,0.7125,0.95,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,1.3498879649,0,5.0912421,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.399425477151,1.3498879649,false,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_3.json,results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_3.lp,results\interval_cutoff_work\high_imbalance_seed3202_interval_cutoff_712500000_950000000_1074144648\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s.auto_oracle.csv,4,0.2375,0.35625,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.2405109,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,1.74931345205,true,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_4.json,results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_4.lp,results\interval_cutoff_work\high_imbalance_seed3202_interval_cutoff_237500000_356250000_1074149744\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s.auto_oracle.csv,5,0.35625,0.475,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,1.5618271603,0,5.0898578,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.187486281751,1.5618271603,false,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_5.json,results\gf_compact_bc_strengthening_round\raw\ablation_high_imbalance_seed3202_no_new_cuts_60s_auto_oracle\interval_5.lp,results\interval_cutoff_work\high_imbalance_seed3202_interval_cutoff_356250000_475000000_1074149989\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s.auto_oracle.csv,1,0.0122881381662,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.043245762049,0,5.1019064,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.00590678061575,0.043245762049,false,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_1.json,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_12288138_24576276_1074025472\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s.auto_oracle.csv,2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048033461411,0,5.06143,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.00111908125375,0.048033461411,false,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_2.json,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_2.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_36864414_1074030580\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s.auto_oracle.csv,3,0.0368644144986,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.3545679,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_3.json,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_3.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_36864414_49152553_1074035649\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s.auto_oracle.csv,5,0.00614406908309,0.0122881381662,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,1.0374908,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_5.json,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_no_new_cuts_60s_auto_oracle\interval_5.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_6144069_12288138_1074036008\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s.auto_oracle.csv,1,0.0122881381662,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.043381101964,0,5.1233966,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.00577144070075,0.043381101964,false,190,24,3,2760,1,0,11,1,452,2,5,40,1,0,570,3420,60,1,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_1.json,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_12288138_24576276_1074232944\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s.auto_oracle.csv,2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.047738460017,0,5.1135362,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.00141408264775,0.047738460017,false,190,31,5,3360,1,0,13,1,452,2,4,40,1,0,570,3420,60,2,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_2.json,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_2.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_36864414_1074238075\interval_cutoff.cplex.log
