round_id,stage,run_id,instance_id,instance_sha256,V,M,Q,scenario,arm,startup_variant,process_cap_seconds,shutdown_margin_seconds,watchdog_seconds,repetition,serial_order,frozen_before_official_results
34,case,case__V12_M2__p_grb__7200s,V12_M2,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,12,2,30,v12,P-GRB,not_applicable,7200,15,7290,primary,1,True
34,case,case__V12_M2__c6_hga_full__7200s,V12_M2,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,12,2,30,v12,C6-HGA-FULL,hga-full,7200,15,7290,primary,2,True
34,case,case__round32_multi_m_high_imbalance_V20_M2_seed1052706459__p_grb__7200s,round32_multi_m_high_imbalance_V20_M2_seed1052706459,4cda9b09c2d0253145e931d7c5a3c317376aca12b040446c3b2db5d8f0bbbb1f,20,2,30,high_imbalance,P-GRB,not_applicable,7200,15,7290,primary,3,True
34,case,case__round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6_hga_full__7200s,round32_multi_m_high_imbalance_V20_M2_seed1052706459,4cda9b09c2d0253145e931d7c5a3c317376aca12b040446c3b2db5d8f0bbbb1f,20,2,30,high_imbalance,C6-HGA-FULL,hga-full,7200,15,7290,primary,4,True
34,case,case__round33_v10_high_imbalance_M3_Q30_seed1765289896__p_grb__7200s,round33_v10_high_imbalance_M3_Q30_seed1765289896,e594c99b4ec65eafc53e54f924183ebb3c44108042ddecbb4034f7ea4473a7d0,10,3,30,high_imbalance,P-GRB,not_applicable,7200,15,7290,primary,5,True
34,case,case__round33_v10_high_imbalance_M3_Q30_seed1765289896__c6_hga_full__7200s,round33_v10_high_imbalance_M3_Q30_seed1765289896,e594c99b4ec65eafc53e54f924183ebb3c44108042ddecbb4034f7ea4473a7d0,10,3,30,high_imbalance,C6-HGA-FULL,hga-full,7200,15,7290,primary,6,True
34,v10,v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_hga_full__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,004097e7f1323ed8d5a8877b3c1f07e34a2284909502a3f156285dc92fd528ec,10,1,20,high_imbalance,C6-HGA-FULL,hga-full,3600,15,3690,primary,7,True
34,v10,v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_hga_light__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,004097e7f1323ed8d5a8877b3c1f07e34a2284909502a3f156285dc92fd528ec,10,1,20,high_imbalance,C6-HGA-LIGHT,hga-light-1000,3600,15,3690,primary,8,True
34,v10,v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_simple_start__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,004097e7f1323ed8d5a8877b3c1f07e34a2284909502a3f156285dc92fd528ec,10,1,20,high_imbalance,C6-SIMPLE-START,simple-start,3600,15,3690,primary,9,True
34,v10,v10__round33_v10_moderate_M1_Q20_seed256070676__c6_hga_full__3600s,round33_v10_moderate_M1_Q20_seed256070676,2a320d901944a0e94d3a611f247ac934f4d39191fc4fe292cb9cb9cf90033cb2,10,1,20,moderate,C6-HGA-FULL,hga-full,3600,15,3690,primary,10,True
