round_id,stage,run_id,serial_order,instance_id,instance_sha256,V,M,Q,scenario,arm,startup_variant,process_wall_seconds,reported_runtime_seconds,verified_incumbent_objective,verifier_passed,hga_wall_time_seconds,hga_total_generations,hga_generations_since_improvement,hga_objective_improvement_count,hga_final_fitness,return_code,passed
34,development,development__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_hga_full,1,round33_v10_high_imbalance_M1_Q20_seed2098545008,004097e7f1323ed8d5a8877b3c1f07e34a2284909502a3f156285dc92fd528ec,10,1,20,high_imbalance,C6-HGA-FULL,hga-full,3.656000000424683,3.4494944,2.5011685062793667,True,3.4468254,2006,2000,2,-2.501168506279367,0,True
34,development,development__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_hga_light,2,round33_v10_high_imbalance_M1_Q20_seed2098545008,004097e7f1323ed8d5a8877b3c1f07e34a2284909502a3f156285dc92fd528ec,10,1,20,high_imbalance,C6-HGA-LIGHT,hga-light-1000,1.843999999575317,1.8076256,2.5011685062793667,True,1.8061275,1006,1000,2,-2.501168506279367,0,True
34,development,development__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_simple_start,3,round33_v10_high_imbalance_M1_Q20_seed2098545008,004097e7f1323ed8d5a8877b3c1f07e34a2284909502a3f156285dc92fd528ec,10,1,20,high_imbalance,C6-SIMPLE-START,simple-start,0.031000000424683094,0.0003901,2.4976637671846893,True,0.0,0,0,0,0.0,0,True
34,development,development__round33_v10_moderate_M1_Q30_seed82526096__c6_hga_full,4,round33_v10_moderate_M1_Q30_seed82526096,67647350f3af104da697ca5f8dd541d549104dfee28ab189d64ee567562949c7,10,1,30,moderate,C6-HGA-FULL,hga-full,3.1409999998286366,3.1183872,0.5780151685284923,True,3.1148763,2000,2000,1,-0.5780151685284917,0,True
34,development,development__round33_v10_moderate_M1_Q30_seed82526096__c6_hga_light,5,round33_v10_moderate_M1_Q30_seed82526096,67647350f3af104da697ca5f8dd541d549104dfee28ab189d64ee567562949c7,10,1,30,moderate,C6-HGA-LIGHT,hga-light-1000,1.6869999999180436,1.6435366,0.5780151685284923,True,1.6420454,1000,1000,1,-0.5780151685284917,0,True
34,development,development__round33_v10_moderate_M1_Q30_seed82526096__c6_simple_start,6,round33_v10_moderate_M1_Q30_seed82526096,67647350f3af104da697ca5f8dd541d549104dfee28ab189d64ee567562949c7,10,1,30,moderate,C6-SIMPLE-START,simple-start,0.031000000424683094,0.0004263,0.5780977165253331,True,0.0,0,0,0,0.0,0,True
34,development,development__round33_v10_tight_T_M1_Q20_seed1215342007__c6_hga_full,7,round33_v10_tight_T_M1_Q20_seed1215342007,266306777768989f0b637956442c10392a3f004f1d0271e90f7ea4d1f817b4c9,10,1,20,tight_T,C6-HGA-FULL,hga-full,1.1880000000819564,1.1488115,0.9281961668453516,True,1.146798,2000,2000,1,-0.9281961668453513,0,True
34,development,development__round33_v10_tight_T_M1_Q20_seed1215342007__c6_hga_light,8,round33_v10_tight_T_M1_Q20_seed1215342007,266306777768989f0b637956442c10392a3f004f1d0271e90f7ea4d1f817b4c9,10,1,20,tight_T,C6-HGA-LIGHT,hga-light-1000,0.6090000001713634,0.5809795,0.9281961668453516,True,0.5797281,1000,1000,1,-0.9281961668453513,0,True
34,development,development__round33_v10_tight_T_M1_Q20_seed1215342007__c6_simple_start,9,round33_v10_tight_T_M1_Q20_seed1215342007,266306777768989f0b637956442c10392a3f004f1d0271e90f7ea4d1f817b4c9,10,1,20,tight_T,C6-SIMPLE-START,simple-start,0.03099999949336052,0.000344,0.9281961668453516,True,0.0,0,0,0,0.0,0,True
34,development,development__round33_v10_moderate_M2_Q20_seed1118884127__c6_hga_full,10,round33_v10_moderate_M2_Q20_seed1118884127,fdc524808524a79c87d04832a5b56653c00691ceab53b57f44568238bd3bc7b8,10,2,20,moderate,C6-HGA-FULL,hga-full,2.5630000000819564,2.5356731,0.007531475161479737,True,2.53414,2005,2000,3,-0.007531475161479809,0,True
