round_id,selection_order,purpose,instance_id,path,instance_sha256,V,M,Q,scenario,T,lambda,predeclared_before_round34_solver_results
34,1,startup_transfer,V12_M1,reference/regen_candidate_V12_M1_average.txt,e395cfef336d3407a65f04d7e201aa29ac844a08aff25d1991ce6983e5e9508d,12,1,30,v12,3600.0,0.15,True
34,2,startup_transfer,V12_M2,reference/regen_candidate_V12_M2_average.txt,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,12,2,30,v12,3600.0,0.15,True
34,3,startup_transfer,round32_multi_m_high_imbalance_V20_M2_seed1052706459,reference/qualification_round32/V20_M2/round32_multi_m_high_imbalance_V20_M2_seed1052706459.txt,4cda9b09c2d0253145e931d7c5a3c317376aca12b040446c3b2db5d8f0bbbb1f,20,2,30,high_imbalance,3600.0,0.15,True
34,4,startup_transfer,tight_T_seed4101,reference/heldout_round22/V20_M3/tight_T_seed4101.txt,57efa512535d9914d51bfa1a16ccfbe602bd5c04080698bc7a7de611bcc54a3d,20,3,30,tight_T,3600.0,0.15,True
