round_id,run_id,arm,trace_path,observation_count,elapsed_monotone,valid_lower_bound_monotone,instantaneous_exact_trace_allowed,passed
34,strict_promotion__V12_M2__p_grb,P-GRB,results/gf_c6_documentation_hga_round34/stage0_runs/strict_promotion__V12_M2__p_grb/progress.csv,0,True,True,True,True
34,strict_promotion__V12_M2__c6_hga_full,C6-HGA-FULL,results/gf_c6_documentation_hga_round34/stage0_runs/strict_promotion__V12_M2__c6_hga_full/external/global_bound_trace.csv,411,True,True,False,True
