elapsed_seconds,event,incumbent_UB,global_LB,gap,unresolved_intervals,global_min_lb_interval_id,global_min_lb_interval_range,global_min_lb_source,open_nodes,route_pool_columns_after_dominance,route_pool_best_incumbent,focused_intensification_passes,last_LB_improvement_time,last_UB_improvement_time,bound_time_seconds,master_time_seconds,pricing_time_seconds,columns,nodes
0.0002098,initial_empty_incumbent,0.49,0,1,0,-1,"","seed_initial",0,0,0,0,0.0002098,0.0002098,0,0,0,0,0
0.0004027,initial_after_seed,0.49,0,1,8,0,"[0,0.06125]",gamma_floor,0,0,0,0,0.0004027,0.0004027,0,0,0,0,0
0.1564176,interval_relaxation_0,0.49,0,1,8,0,"[0,0.06125]",gamma_floor,0,0,0,0,0.0004027,0.0004027,0.1557972,0,0,0,0
3.5845334,interval_tree_0,0.135,0,1,3,0,"[0,0.06125]",gamma_floor,0,79,0.135,0,0.0004027,3.5845334,0.1557972,3.4138383,0.0079059,241,11
3.7324361,interval_relaxation_1,0.135,0,1,3,0,"[0,0.06125]",gamma_floor,7,79,0.135,0,0.0004027,3.5845334,0.3035443,3.4138383,0.0079059,241,11
7.2955186,interval_tree_1,0.135,0,1,3,0,"[0,0.06125]",gamma_floor,7,92,0.135,0,0.0004027,3.5845334,0.3035443,6.9629307,0.0153216,496,24
7.2956158,route_pool_after_candidate_1,0.135,0,1,3,0,"[0,0.06125]",gamma_floor,12,92,0.135,0,0.0004027,3.5845334,0.3035443,6.9629307,0.0153216,496,24
7.4423283,interval_relaxation_2,0.135,0,1,3,0,"[0,0.06125]",gamma_floor,12,92,0.135,0,0.0004027,3.5845334,0.4501123,6.9629307,0.0153216,496,24
10.8269796,interval_tree_2,0.135,0,1,3,0,"[0,0.06125]",gamma_floor,12,95,0.135,0,0.0004027,3.5845334,0.4501123,10.333275,0.0232339,756,37
10.9765607,adaptive_split_child_8,0.135,0,1,2,8,"[0,0.030625]",gamma_floor,6,95,0.135,0,0.0004027,3.5845334,0.5995272,10.333275,0.0232339,756,37
11.1293989,adaptive_split_child_9,0.135,0,1,3,8,"[0,0.030625]",gamma_floor,7,95,0.135,0,0.0004027,3.5845334,0.7523122,10.333275,0.0232339,756,37
11.2804676,adaptive_split_child_10,0.135,0,1,3,10,"[0,0.0153125]",gamma_floor,7,95,0.135,0,0.0004027,3.5845334,0.9033328,10.333275,0.0232339,756,37
11.4308355,adaptive_split_child_11,0.135,0,1,4,10,"[0,0.0153125]",gamma_floor,8,95,0.135,0,0.0004027,3.5845334,1.0536611,10.333275,0.0232339,756,37
11.5808335,adaptive_split_child_12,0.135,0,1,4,12,"[0,0.00765625]",gamma_floor,8,95,0.135,0,0.0004027,3.5845334,1.2036024,10.333275,0.0232339,756,37
11.7314995,adaptive_split_child_13,0.135,0,1,5,12,"[0,0.00765625]",gamma_floor,9,95,0.135,0,0.0004027,3.5845334,1.3542331,10.333275,0.0232339,756,37
16.2317296,focused_retry_interval_12,0,0,0,0,-1,"",,0,97,0,1,0.0004027,16.2317296,1.5059214,14.6670383,0.0304096,1046,54
16.2321735,route_pool_before_final_summary,0,0,0,0,-1,"",,0,97,0,1,0.0004027,16.2317296,1.5059214,14.6670383,0.0304096,1046,54
16.2322604,final_summary,0,0,0,0,-1,"",incumbent_cutoff,0,97,0,1,0.0004027,16.2317296,1.5059214,14.6670383,0.0304096,1046,54
