leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,presolve_observed,root_relaxation_observed,model_sha256,row_signature,native_log
R,LP,"OPTIMAL",0,12.1068,0.367,1.09874,0,4612,0,0.0291846,1,0,27a9e87e4a8326b740f1dee02cbf7575c09b8de54670176387e334d5055fcd2e,27a9e87e4a8326b740f1dee02cbf7575c09b8de54670176387e334d5055fcd2e,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate_seed3302__c3_replica__60s\external\native_logs\R_lp.gurobi.log"
R.0,LP,"OPTIMAL",0,11.5655,0.412,1.27868,0,4502,0,0.0291846,1,0,f9af3be9aed548bf9902b0719a7079877638af8b5c26e2b48bcd0b7d9697ea0e,f9af3be9aed548bf9902b0719a7079877638af8b5c26e2b48bcd0b7d9697ea0e,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate_seed3302__c3_replica__60s\external\native_logs\R.0_lp.gurobi.log"
R.1,LP,"OPTIMAL",0,10.9859,0.348,1.03948,0,4384,0,0.0292106,1,0,f67f9c16f7b7ee7f5dcf3696c18cb8a1d3162e2be9a47a3d9f827bf4a5c52ee3,f67f9c16f7b7ee7f5dcf3696c18cb8a1d3162e2be9a47a3d9f827bf4a5c52ee3,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate_seed3302__c3_replica__60s\external\native_logs\R.1_lp.gurobi.log"
R.0.0,LP,"OPTIMAL",0,10.4741,0.544,1.66031,0,5447,0,0.0292106,1,0,48b20f554fd5bde4f9072b1ab5ded8d33ab8ff8dcc6e48bae7ef9661380515de,48b20f554fd5bde4f9072b1ab5ded8d33ab8ff8dcc6e48bae7ef9661380515de,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate_seed3302__c3_replica__60s\external\native_logs\R.0.0_lp.gurobi.log"
R.0.1,LP,"OPTIMAL",0,9.76518,0.339,1.00512,0,4032,0,0.0292247,1,0,0d802d9d4ac3c0f0b4089608afe4e385ee6f99bc6a5abe449fd6d4a1485ec48c,0d802d9d4ac3c0f0b4089608afe4e385ee6f99bc6a5abe449fd6d4a1485ec48c,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate_seed3302__c3_replica__60s\external\native_logs\R.0.1_lp.gurobi.log"
R.0.0.0,LP,"OPTIMAL",0,9.26264,0.179,0.497055,0,2242,0,0.0292846,1,0,968862717261ef42c79f42ec113357c55dbe8e9960a86dcbca7580f0e2979849,968862717261ef42c79f42ec113357c55dbe8e9960a86dcbca7580f0e2979849,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate_seed3302__c3_replica__60s\external\native_logs\R.0.0.0_lp.gurobi.log"
R.0.0.1,LP,"OPTIMAL",0,8.92102,0.571,1.71061,0,5313,0,0.0294027,1,0,1bd41b80e2e5d5c9f8ad8b243099c532c5055415843bc0b4cc4d26360965cc72,1bd41b80e2e5d5c9f8ad8b243099c532c5055415843bc0b4cc4d26360965cc72,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate_seed3302__c3_replica__60s\external\native_logs\R.0.0.1_lp.gurobi.log"
R.0.0.0.0,LP,"OPTIMAL",0,8.18529,0.196,0.580951,0,2321,0,0.0294027,1,0,73338be5a64e3c510b753307b62efc3ec1ec8d99f2c946c855d5a1fa5842796c,73338be5a64e3c510b753307b62efc3ec1ec8d99f2c946c855d5a1fa5842796c,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate_seed3302__c3_replica__60s\external\native_logs\R.0.0.0.0_lp.gurobi.log"
R.0.0.0.1,LP,"OPTIMAL",0,7.82607,0.169,0.488027,0,2239,0,0.0297339,1,0,1df2314c26a1e8a25039fb108bcdc75fc376d06ae6ec2594dfe300677a306a06,1df2314c26a1e8a25039fb108bcdc75fc376d06ae6ec2594dfe300677a306a06,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate_seed3302__c3_replica__60s\external\native_logs\R.0.0.0.1_lp.gurobi.log"
R.0.0.1.0,LP,"OPTIMAL",0,7.49384,0.316,0.912859,0,3602,0,0.0297339,1,0,e3f2b4522080170585af014cfc7e432d7393fc99f0a917a9fb1b0eecaaabd1ea,e3f2b4522080170585af014cfc7e432d7393fc99f0a917a9fb1b0eecaaabd1ea,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate_seed3302__c3_replica__60s\external\native_logs\R.0.0.1.0_lp.gurobi.log"
