telemetry_seconds,event,leaf_id,global_lb,verified_ub
0.0221198,initialize,R,0,0.0485429
0.273368,lp_complete,R,0,0.0485429
0.273394,atomic_split,R,0,0.0485429
0.540595,lp_complete,R.0,0,0.0485429
0.540619,atomic_split,R.0,0,0.0485429
0.816386,lp_complete,R.0.0,0,0.0485429
0.816409,atomic_split,R.0.0,0,0.0485429
1.09269,lp_complete,R.0.0.0,0,0.0485429
1.09272,atomic_split,R.0.0.0,0,0.0485429
1.34782,lp_complete,R.0.0.0.0,0,0.0485429
1.34785,atomic_split,R.0.0.0.0,0,0.0485429
1.61667,lp_complete,R.0.0.0.0.0,0,0.0485429
1.6167,atomic_split,R.0.0.0.0.0,0,0.0485429
1.87222,lp_complete,R.0.0.0.0.0.0,0,0.0485429
1.87224,atomic_split,R.0.0.0.0.0.0,0,0.0485429
2.14954,lp_complete,R.0.0.0.0.0.0.0,0,0.0485429
2.14956,atomic_split,R.0.0.0.0.0.0.0,0,0.0485429
2.41203,lp_complete,R.0.0.0.0.0.0.0.0,0,0.0485429
2.41207,atomic_split,R.0.0.0.0.0.0.0.0,0,0.0485429
2.67378,lp_complete,R.0.0.0.0.0.0.0.0.0,0,0.0485429
3.14776,terminal_mip_complete,R.0.0.0.0.0.0.0.0.0,0,0.0485429
3.41937,lp_complete,R.0.0.0.0.0.0.0.0.1,0,0.0485429
3.88446,terminal_mip_complete,R.0.0.0.0.0.0.0.0.1,0,0.0485429
4.16748,lp_complete,R.0.0.0.0.0.0.0.1,0,0.0485429
4.16751,atomic_split,R.0.0.0.0.0.0.0.1,0,0.0485429
4.42743,lp_complete,R.0.0.0.0.0.0.1,0,0.0485429
4.42746,atomic_split,R.0.0.0.0.0.0.1,0,0.0485429
4.68357,lp_complete,R.0.0.0.0.0.1,0,0.0485429
4.6836,atomic_split,R.0.0.0.0.0.1,0,0.0485429
4.95834,lp_complete,R.0.0.0.0.1,0,0.0485429
4.95837,atomic_split,R.0.0.0.0.1,0,0.0485429
5.22421,lp_complete,R.0.0.0.1,0,0.0485429
5.22424,atomic_split,R.0.0.0.1,0,0.0485429
5.4936,lp_complete,R.0.0.1,0,0.0485429
5.49363,atomic_split,R.0.0.1,0,0.0485429
5.7387,lp_complete,R.0.1,0,0.0485429
5.73873,atomic_split,R.0.1,0,0.0485429
6.00464,lp_complete,R.1,0.000189621,0.0485429
6.00467,atomic_split,R.1,0.000189621,0.0485429
6.27844,lp_complete,R.0.0.0.0.0.0.0.1.0,0.000189621,0.0485429
6.73414,terminal_mip_complete,R.0.0.0.0.0.0.0.1.0,0.000189621,0.0485429
7.01735,lp_complete,R.0.0.0.0.0.0.0.1.1,0.000284431,0.0485429
7.48023,terminal_mip_complete,R.0.0.0.0.0.0.0.1.1,0.000379241,0.0485429
7.75123,lp_complete,R.0.0.0.0.0.0.1.0,0.000379241,0.0485429
7.75125,atomic_split,R.0.0.0.0.0.0.1.0,0.000379241,0.0485429
8.00635,lp_complete,R.0.0.0.0.0.0.1.0.0,0.000379241,0.0485429
