parent_id,parent_bound,child_id,child_inherited_bound,inheritance_valid,source
R,0,R.0,0,true,"inherited_complete_parent_lp_bound"
R,0,R.1,0,true,"inherited_complete_parent_lp_bound"
R.0,0,R.0.0,0,true,"inherited_complete_parent_lp_bound"
R.0,0,R.0.1,0,true,"inherited_complete_parent_lp_bound"
R.0.0,0,R.0.0.0,0,true,"inherited_complete_parent_lp_bound"
R.0.0,0,R.0.0.1,0,true,"inherited_complete_parent_lp_bound"
R.0.0.0,0,R.0.0.0.0,0,true,"inherited_complete_parent_lp_bound"
R.0.0.0,0,R.0.0.0.1,0,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0,0,R.0.0.0.0.0,0,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0,0,R.0.0.0.0.1,0,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0,0,R.0.0.0.0.0.0,0,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0,0,R.0.0.0.0.0.1,0,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0.0,0,R.0.0.0.0.0.0.0,0,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0.0,0,R.0.0.0.0.0.0.1,0,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0.0.0,0,R.0.0.0.0.0.0.0.0,0,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0.0.0,0,R.0.0.0.0.0.0.0.1,0,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0.0.0.0,0,R.0.0.0.0.0.0.0.0.0,0,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0.0.0.0,0,R.0.0.0.0.0.0.0.0.1,0,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0.0.0.1,0.000189621,R.0.0.0.0.0.0.0.1.0,0.000189621,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0.0.0.1,0.000189621,R.0.0.0.0.0.0.0.1.1,0.000189621,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0.0.1,0.000379241,R.0.0.0.0.0.0.1.0,0.000379241,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0.0.1,0.000379241,R.0.0.0.0.0.0.1.1,0.000379241,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0.1,0.000758482,R.0.0.0.0.0.1.0,0.000758482,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.0.1,0.000758482,R.0.0.0.0.0.1.1,0.000758482,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.1,0.00151696,R.0.0.0.0.1.0,0.00151696,true,"inherited_complete_parent_lp_bound"
R.0.0.0.0.1,0.00151696,R.0.0.0.0.1.1,0.00151696,true,"inherited_complete_parent_lp_bound"
R.0.0.0.1,0.00303393,R.0.0.0.1.0,0.00303393,true,"inherited_complete_parent_lp_bound"
R.0.0.0.1,0.00303393,R.0.0.0.1.1,0.00303393,true,"inherited_complete_parent_lp_bound"
