telemetry_seconds,event,leaf_id,gamma_L,gamma_U,status,global_lb,verified_ub,detail
0.112207,lp_complete,L0,0,0.225,infeasible,0,2.36564,"complete_lp_relaxation"
0.239753,lp_complete,L1,0.225,0.45,infeasible,0.225,2.36564,"complete_lp_relaxation"
0.387557,lp_complete,L2,0.45,0.675,optimal,0.675,2.36564,"complete_lp_relaxation"
0.38758,parent_lp_requeue,L2,0.45,0.675,open,0.675,2.36564,"selected_leaf_no_longer_controlling"
0.484308,lp_complete,L3,0.675,0.9,infeasible,0.675,2.36564,"complete_lp_relaxation"
0.709212,atomic_split,L2,0.45,0.675,replaced,2.24106,2.36564,"current_normalized_child_gain_reaches_rho"
0.916814,native_bound_target_reached,L2.0,0.45,0.5625,open,2.27128,2.36564,"c6_next_strict_frontier_bound_reached_requeue"
1.33948,native_bound_target_reached,L2.1,0.5625,0.675,open,2.32271,2.36564,"c6_next_strict_frontier_bound_reached_requeue"
1.54219,atomic_split,L2.0,0.45,0.5625,replaced,2.32271,2.36564,"current_complete_child_infeasibility"
1.72094,native_bound_target_reached,L2.0.1,0.50625,0.5625,open,2.32607,2.36564,"c6_next_strict_frontier_bound_reached_requeue"
4.86274,terminal_mip_complete,L2.1,0.5625,0.675,"OPTIMAL",2.33195,2.36564,"native_terminal_mip_optimal"
5.07607,atomic_split,L2.0.1,0.50625,0.5625,replaced,2.33195,2.36564,"current_complete_child_infeasibility"
8.84146,terminal_mip_complete,L2.0.1.1,0.534375,0.5625,"INFEASIBLE",2.36564,2.36564,"native_terminal_mip_infeasible"
