difficulty_stratum,pair_count,comparable_strict_pair_count,p_grb_wins,light_wins,ties,unresolved,p_grb_median_seconds,light_median_seconds,p_grb_shifted_geomean_seconds,light_shifted_geomean_seconds,geomean_shift_seconds,median_speedup_p_over_light,total_p_grb_seconds,total_light_seconds,total_light_startup_seconds,all_objectives_equal,all_rows_strict
small-easy,8,8,8,0,0,0,0.48498090000000005,3.5018175,0.6542537162312967,4.359988925341975,1.0,0.16043331270351213,5.8394747,55.872717,14.2620326,True,True
small-medium,8,8,3,4,1,0,13.774631600000001,10.56708735,26.28030559941154,22.068573037693575,1.0,1.1308534374676662,1467.5536661,2111.8204972,5.8343837,True,True
small-hard,8,7,2,5,0,1,26.126958,8.6994054,24.765716746985195,6.961447371927972,1.0,3.003303880975589,6554.8037912,110.01013069999999,4.2980317,True,False
