round_id,instance_id,V,M,Q,T,difficulty_stratum,difficulty_score,p_grb_seconds,light_total_seconds,light_startup_seconds,light_hga_seconds,light_exact_phase_seconds,speedup_p_grb_over_light,absolute_seconds_saved_by_light,materiality_tolerance_seconds,time_outcome,raw_faster_arm,p_grb_work,light_work,work_ratio_p_over_light,p_grb_nodes,light_nodes,node_ratio_p_over_light,p_grb_objective,light_objective,objective_equal,p_grb_strict_certificate,light_strict_certificate,light_startup_objective,light_startup_relative_gap,light_initial_lp_bounds,light_targets,light_requeues,light_splits,light_closures
39,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,8,2,30,3600.0,small-easy,41.73363013779564,0.4413744,1.8708833,1.1401355,1.1358072,0.7307478000000001,0.23591765451110713,-1.4295089,0.05,P_GRB_win,P-GRB,0.39108441274280636,0.3414208347308303,1.1454614744033704,12.0,1.0,12.0,0.011571906354515056,0.011571906354515056,True,True,True,0.011571906354515056,0.0,L0|0|0.002892976588628764|0.0067198377260797755|OPTIMAL;L1|0.002892976588628764|0.005785953177257528|0.0079532236309364998|OPTIMAL;L2|0.005785953177257528|0.008678929765886292|0.0092457095890019457|OPTIMAL;L3|0.008678929765886292|0.011571906354515056|0.010930683286484905|OPTIMAL,20,0,5,1
39,round39_small_easy_V8_M2_Q20_slot02_seed944712007,8,2,20,3600.0,small-easy,46.73961119998396,0.4219987,2.3900254,1.394465,1.3902597,0.9955603999999998,0.17656661724180842,-1.9680266999999998,0.05,P_GRB_win,P-GRB,0.44003376994004867,0.8696625354401063,0.5059822080496577,525.0,28.0,18.75,0.024406570011031435,0.024406570011031435,True,True,True,0.024406570011031435,0.0,L0|0|0.0061016425027578588|0.016144301072860974|OPTIMAL;L1|0.0061016425027578588|0.012203285005515718|0.018437876067697249|OPTIMAL;L2|0.012203285005515718|0.018304927508273575|0.022039657257245847|OPTIMAL;L3|0.018304927508273575|0.024406570011031435|0|INFEASIBLE,13,2,0,2
39,round39_small_easy_V10_M2_Q30_slot05_seed332426708,10,2,30,3600.0,small-easy,47.40133187277104,0.5285874,4.6136096,2.0298073,2.0254273,2.5838023000000003,0.11457133260690285,-4.0850222,0.05,P_GRB_win,P-GRB,0.5619520501484777,2.4226676298664764,0.23195589986045642,385.0,15.0,25.666666666666668,0.015268500023226654,0.015268500023226654,True,True,True,0.015268500023226654,0.0,L0|0|0.0038171250058066635|0.0085225265171433289|OPTIMAL;L1|0.0038171250058066635|0.007634250011613327|0.010463496080083139|OPTIMAL;L2|0.007634250011613327|0.011451375017419991|0.01255132079354512|OPTIMAL;L3|0.011451375017419991|0.015268500023226654|0.014868136428274191|OPTIMAL,28,2,6,3
39,round39_small_easy_V8_M1_Q30_slot01_seed432322553,8,1,30,3600.0,small-easy,51.316725156791534,0.3471442,1.9861127,1.3435567,1.3401071,0.6425560000000001,0.17478575108049005,-1.6389685,0.05,P_GRB_win,P-GRB,0.323659897802514,0.3908992764865721,0.8279879684393127,300.0,8.0,37.5,0.02306393542412984,0.02306393542412984,True,True,True,0.02306393542412984,0.0,L0|0|0.0057659838560324599|0.016980181021260074|OPTIMAL;L1|0.0057659838560324599|0.01153196771206492|0.018426884057566043|OPTIMAL;L2|0.01153196771206492|0.017297951568097381|0.020387573867992833|OPTIMAL;L3|0.017297951568097381|0.02306393542412984|0|INFEASIBLE,13,2,0,2
39,round39_small_easy_V10_M3_Q20_slot06_seed1178207568,10,3,20,3600.0,small-easy,51.94200825983829,0.9917038,4.7636214,1.9439662,1.9392217,2.8196551999999997,0.20818274936794937,-3.7719176,0.05,P_GRB_win,P-GRB,1.1326278983876463,3.3447293532894102,0.3386306569988245,510.0,87.0,5.862068965517241,0.013591474820774569,0.013591474820774569,True,True,True,0.013591474820774569,0.0,L0|0|0.0033978687051936423|0.0086582056739349794|OPTIMAL;L1|0.0033978687051936423|0.0067957374103872845|0.0085804406968216524|OPTIMAL;L2|0.0067957374103872845|0.010193606115580928|0.010705212416745257|OPTIMAL;L3|0.010193606115580928|0.013591474820774569|0.013095046626297305|OPTIMAL,14,3,0,2
39,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,10,1,30,3600.0,small-easy,55.05494774903262,0.0487564,1.3253019,1.3075128,1.3037972,0.01778909999999989,0.03678890070254936,-1.2765454999999999,0.05,P_GRB_win,P-GRB,0.02713133726856121,0.0,nan,1.0,0.0,nan,0.0,0.0,True,True,True,0.0,0.0,,0,0,0,0
39,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,12,3,30,3600.0,small-easy,57.21140036103976,1.7286978,29.8103202,2.7277906,2.7227959,27.0825296,0.05798991048744253,-28.0816224,0.05,P_GRB_win,P-GRB,2.080721906744143,47.3035471806965,0.04398659362258647,1086.0,146.0,7.438356164383562,0.021337006039780566,0.021337006039780566,True,True,True,0.021337006039780566,0.0,L0|0|0.0053342515099451416|0.014301735848744952|OPTIMAL;L1|0.0053342515099451416|0.010668503019890283|0.014748167326727513|OPTIMAL;L2|0.010668503019890283|0.016002754529835427|0.017964388963836342|OPTIMAL;L3|0.016002754529835427|0.021337006039780566|0|INFEASIBLE,19,3,1,3
39,round39_small_easy_V12_M2_Q30_slot07_seed1210444511,12,2,30,3600.0,small-easy,57.39189710973525,1.331212,9.1128425,2.3747985,2.3705141,6.7380439999999995,0.14608087432653424,-7.7816304999999995,0.05,P_GRB_win,P-GRB,1.6278828690447789,9.380035587911921,0.1735476218387312,701.0,73.0,9.602739726027398,0.020382503842219304,0.020382503842219304,True,True,True,0.020382503842219304,0.0,L0|0|0.0050956259605548261|0.011642307008093006|OPTIMAL;L1|0.0050956259605548261|0.010191251921109652|0.013453553643099112|OPTIMAL;L2|0.010191251921109652|0.015286877881664478|0.016684212922901797|OPTIMAL;L3|0.015286877881664478|0.020382503842219304|0|INFEASIBLE,12,1,0,2
39,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,8,3,30,2850.0,small-medium,60.25883214885914,4.4968299,3.5551623,0.7408314,0.7369208,2.8143309,1.2648733083156287,0.9416675999999997,0.05,C6_LIGHT_win,C6-HGA-LIGHT-1000,5.806863502157574,3.407074912530055,1.7043545126647843,2357.0,241.0,9.780082987551868,0.023397909764811306,0.023397909764811306,True,True,True,0.023397909764811306,0.0,L0|0|0.0058494774412028265|0.0098007938069843408|OPTIMAL;L1|0.0058494774412028265|0.011698954882405653|0.012070718837518674|OPTIMAL;L2|0.011698954882405653|0.01754843232360848|0.015477600823378363|OPTIMAL;L3|0.01754843232360848|0.023397909764811306|0.020762718037894194|OPTIMAL,18,2,1,3
39,round39_small_medium_V8_M2_Q20_slot02_seed890603285,8,2,20,2850.0,small-medium,66.01735069516653,17.7283335,11.2820489,0.4298348,0.4257243,10.8522141,1.571375346547204,6.446284600000002,0.05,C6_LIGHT_win,C6-HGA-LIGHT-1000,22.411107831650927,14.858987962360878,1.5082526406522592,14101.0,7393.0,1.9073447856080075,0.06925116214905465,0.06925116214905465,True,True,True,0.06925116214905465,0.0,L0|0|0.017312790537263662|0.011324992867302763|OPTIMAL;L1|0.017312790537263662|0.034625581074527324|0.024373826880578306|OPTIMAL;L2|0.034625581074527324|0.05193837161179099|0.040250581074527322|OPTIMAL;L3|0.05193837161179099|0.069251162149054649|0.057563371611790988|OPTIMAL,19,3,0,4
