difficulty_stratum,instance_id,difficulty_score,stratum_median_score,selection_basis
small-easy,round39_small_easy_V10_M3_Q20_slot06_seed1178207568,51.94200825983829,51.62936670831491,closest_to_frozen_stratum_median_score_independent_of_solver_outcomes
small-medium,round39_small_medium_V10_M3_Q30_slot06_seed2147082032,71.24059757333272,71.81684451335587,closest_to_frozen_stratum_median_score_independent_of_solver_outcomes
small-hard,round39_small_hard_V10_M2_Q20_slot03_seed490008310,87.24547666400022,87.34532437673394,closest_to_frozen_stratum_median_score_independent_of_solver_outcomes
