round_id,stage,run_id,serial_order,instance_id,instance_sha256,V,M,Q,T,difficulty_stratum,arm,startup_variant,process_cap_seconds,shutdown_margin_seconds,watchdog_seconds,run_to_convergence,frozen_before_official_results
39,primary,primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,1,round39_small_easy_V8_M1_Q30_slot01_seed432322553,5a944ace5710c686ea8f8ae4abb412324b48c2042cfade1470034f2e0fdc9c59,8,1,30,3600.0,small-easy,P-GRB,not_applicable,21600,20,21780,True,True
39,primary,primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,2,round39_small_easy_V8_M1_Q30_slot01_seed432322553,5a944ace5710c686ea8f8ae4abb412324b48c2042cfade1470034f2e0fdc9c59,8,1,30,3600.0,small-easy,C6-HGA-LIGHT-1000,hga-light-1000,21600,20,21780,True,True
39,primary,primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,3,round39_small_easy_V8_M2_Q20_slot02_seed944712007,0d989e34e63d682718ce2d073f84eff141e9321936e9bceb87fb8bb061559b17,8,2,20,3600.0,small-easy,P-GRB,not_applicable,21600,20,21780,True,True
39,primary,primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,4,round39_small_easy_V8_M2_Q20_slot02_seed944712007,0d989e34e63d682718ce2d073f84eff141e9321936e9bceb87fb8bb061559b17,8,2,20,3600.0,small-easy,C6-HGA-LIGHT-1000,hga-light-1000,21600,20,21780,True,True
39,primary,primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,5,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,fedf24f3a047b6bdf68c72f8569ee6dd353c138739f006844d621f7e31d9e9cf,8,2,30,3600.0,small-easy,P-GRB,not_applicable,21600,20,21780,True,True
39,primary,primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,6,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,fedf24f3a047b6bdf68c72f8569ee6dd353c138739f006844d621f7e31d9e9cf,8,2,30,3600.0,small-easy,C6-HGA-LIGHT-1000,hga-light-1000,21600,20,21780,True,True
39,primary,primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,7,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,14f4cca30de0990091cebdfd38bd9bb29b0998737fbfa8a2db8e096847ff6097,10,1,30,3600.0,small-easy,P-GRB,not_applicable,21600,20,21780,True,True
39,primary,primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6_hga_light_1000,8,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,14f4cca30de0990091cebdfd38bd9bb29b0998737fbfa8a2db8e096847ff6097,10,1,30,3600.0,small-easy,C6-HGA-LIGHT-1000,hga-light-1000,21600,20,21780,True,True
39,primary,primary__round39_small_easy_V10_M2_Q30_slot05_seed332426708__p_grb,9,round39_small_easy_V10_M2_Q30_slot05_seed332426708,63bcc9d48fffb98a4e03ccde4f854719a6dfa351ea53c46c0d1fbb7d3cd64b43,10,2,30,3600.0,small-easy,P-GRB,not_applicable,21600,20,21780,True,True
39,primary,primary__round39_small_easy_V10_M2_Q30_slot05_seed332426708__c6_hga_light_1000,10,round39_small_easy_V10_M2_Q30_slot05_seed332426708,63bcc9d48fffb98a4e03ccde4f854719a6dfa351ea53c46c0d1fbb7d3cd64b43,10,2,30,3600.0,small-easy,C6-HGA-LIGHT-1000,hga-light-1000,21600,20,21780,True,True
39,primary,primary__round39_small_easy_V10_M3_Q20_slot06_seed1178207568__p_grb,11,round39_small_easy_V10_M3_Q20_slot06_seed1178207568,fd23a2d1c2adf59570fd158aee6adbc61929d375bcc0ee23f28b4b4aadb8fcb8,10,3,20,3600.0,small-easy,P-GRB,not_applicable,21600,20,21780,True,True
39,primary,primary__round39_small_easy_V10_M3_Q20_slot06_seed1178207568__c6_hga_light_1000,12,round39_small_easy_V10_M3_Q20_slot06_seed1178207568,fd23a2d1c2adf59570fd158aee6adbc61929d375bcc0ee23f28b4b4aadb8fcb8,10,3,20,3600.0,small-easy,C6-HGA-LIGHT-1000,hga-light-1000,21600,20,21780,True,True
39,primary,primary__round39_small_easy_V12_M2_Q30_slot07_seed1210444511__p_grb,13,round39_small_easy_V12_M2_Q30_slot07_seed1210444511,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600.0,small-easy,P-GRB,not_applicable,21600,20,21780,True,True
39,primary,primary__round39_small_easy_V12_M2_Q30_slot07_seed1210444511__c6_hga_light_1000,14,round39_small_easy_V12_M2_Q30_slot07_seed1210444511,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600.0,small-easy,C6-HGA-LIGHT-1000,hga-light-1000,21600,20,21780,True,True
