round_id,instance_id,instance_sha256,intended_stratum,V,M,Q,T,capacity_min,capacity_max,capacity_mean,total_initial,total_target,active_station_count,active_fraction,surplus_count,deficit_count,neutral_count,sign_balance,total_surplus,total_deficit,imbalance_l1,imbalance_mean_active,imbalance_max,imbalance_cv,imbalance_hhi,fleet_capacity,fleet_capacity_pressure,handling_lower_bound_seconds,active_support_mst_seconds,support_duration_pressure,max_single_station_tightness,plausible_ordered_pair_count,plausible_ordered_pair_density,full_service_pair_density,mean_depot_distance_seconds,max_depot_distance_seconds,station_distance_cv,initial_gini,initial_penalty,initial_objective_lambda_0_15,difficulty_score,difficulty_stratum,structurally_nontrivial,structural_rejection_reasons
39,round39_small_easy_V8_M1_Q30_slot01_seed432322553,5a944ace5710c686ea8f8ae4abb412324b48c2042cfade1470034f2e0fdc9c59,small-easy,8,1,30,3600.0,25,47,36.625,133,138,5,0.625,2,3,3,0.6666666666666666,9,14,23,4.6,6,0.2608695652173913,0.21361058601134214,30,0.7666666666666667,1380.0,732.597436637125,0.5868326212880903,0.28285123054114597,20,1.0,1.0,241.80056643740784,329.1322149740627,0.5810318251343369,0.15911866325132543,1.1953569463203464,0.3384222051993774,51.316725156791534,small-easy,True,
39,round39_small_easy_V8_M2_Q20_slot02_seed944712007,0d989e34e63d682718ce2d073f84eff141e9321936e9bceb87fb8bb061559b17,small-easy,8,2,20,3600.0,26,50,38.25,142,147,5,0.625,2,3,3,0.6666666666666666,9,14,23,4.6,6,0.22169650059099066,0.20982986767485823,40,0.575,1380.0,662.2987002151433,0.28365259725210323,0.22103765269912307,20,1.0,1.0,202.75519489534963,241.2946101724614,0.5679366124312643,0.12876977404810927,0.9814873613041372,0.27599287824372987,46.73961119998396,small-easy,True,
39,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,fedf24f3a047b6bdf68c72f8569ee6dd353c138739f006844d621f7e31d9e9cf,small-easy,8,2,30,3600.0,21,49,35.625,141,143,4,0.5,2,2,4,1.0,10,12,22,5.5,6,0.09090909090909091,0.2520661157024793,60,0.36666666666666664,1320.0,329.1413664879385,0.22904741201221368,0.21286589663592168,12,1.0,1.0,193.30837989252456,232.7407583309811,0.6002310442241944,0.11108253496360884,0.9528090036630037,0.2540038855130594,41.73363013779564,small-easy,True,
39,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,14f4cca30de0990091cebdfd38bd9bb29b0998737fbfa8a2db8e096847ff6097,small-easy,10,1,30,3600.0,27,46,37.6,203,202,6,0.6,3,3,4,1.0,11,10,21,3.5,4,0.14285714285714285,0.17006802721088432,30,0.7,1260.0,689.4607766454124,0.5415168824015034,0.25081080381346393,30,1.0,1.0,262.2313668415277,334.1237298234814,0.6988477410684257,0.07962187252349147,0.8199059220779223,0.2026077608351798,55.05494774903262,small-easy,True,
39,round39_small_easy_V10_M2_Q30_slot05_seed332426708,63bcc9d48fffb98a4e03ccde4f854719a6dfa351ea53c46c0d1fbb7d3cd64b43,small-easy,10,2,30,3600.0,21,48,32.1,154,157,5,0.5,2,3,5,0.6666666666666666,9,12,21,4.2,6,0.2776643759450143,0.21541950113378683,60,0.35,1260.0,648.278847408671,0.2650387288067599,0.22074943040132453,20,1.0,1.0,207.09334444712294,285.7301107998874,0.6158970982570756,0.1157486884675034,0.9614042000946624,0.2599593184817028,47.40133187277104,small-easy,True,
39,round39_small_easy_V10_M3_Q20_slot06_seed1178207568,fd23a2d1c2adf59570fd158aee6adbc61929d375bcc0ee23f28b4b4aadb8fcb8,small-easy,10,3,20,3600.0,20,49,34.9,171,174,5,0.5,2,3,5,0.6666666666666666,11,14,25,5.0,6,0.12649110640673517,0.20320000000000002,60,0.4166666666666667,1500.0,544.0412053180905,0.18926307456648986,0.21439025455223695,20,1.0,1.0,197.31628614709862,257.86053041750864,0.60919040995064,0.1554219125870849,1.5682256984126985,0.39065576734898966,51.94200825983829,small-easy,True,
39,round39_small_easy_V12_M2_Q30_slot07_seed1210444511,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,small-easy,12,2,30,3600.0,26,44,32.583333333333336,187,191,6,0.5,3,3,6,1.0,13,17,30,5.0,6,0.2309401076758503,0.17555555555555558,60,0.5,1800.0,776.8951157118106,0.3579020994044182,0.25724650224229384,30,1.0,1.0,255.92359731145402,373.0437040361289,0.5888825053777381,0.12415000143459674,1.3789627736495387,0.3309944174820275,57.39189710973525,small-easy,True,
39,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,587737b9d000c1712220232a0fe957073f1f03ac649a63a4775abd9166603acd,small-easy,12,3,30,3600.0,20,50,33.75,202,208,5,0.4166666666666667,2,3,7,0.6666666666666666,10,16,26,5.2,6,0.1884222879063983,0.20710059171597636,90,0.28888888888888886,1560.0,690.0830639810824,0.2083410244426928,0.29002516702907605,20,1.0,1.0,254.46869967935842,353.4330006630653,0.657930560809834,0.12944332050570198,1.4522973763368985,0.3472879269562368,57.21140036103976,small-easy,True,
39,round39_small_medium_V8_M1_Q20_slot01_seed244478273,352afabb52f94963091648d2fdd62f7ef733edffe92354621f2c904745f46668,small-medium,8,1,20,2850.0,20,48,33.5,136,135,6,0.75,3,3,2,1.0,22,21,43,7.166666666666667,9,0.18749436623950114,0.17252568956192538,20,2.15,2580.0,1574.6943234246141,1.4577874819033732,0.4976413104671098,30,1.0,1.0,399.5611110968812,524.2764507607864,0.48015431204289216,0.23574922060463918,2.288691048525159,0.579052877883413,67.19977099512417,small-medium,True,
39,round39_small_medium_V8_M2_Q20_slot02_seed890603285,048af580110a8726bb300aa6133161d4ec577a8967ac5fe3d06a0fe69845f225,small-medium,8,2,20,2850.0,24,50,39.5,154,158,6,0.75,3,3,2,1.0,19,23,42,7.0,9,0.20203050891044216,0.173469387755102,40,1.05,2520.0,1403.0868414007339,0.6882608493685498,0.4846772258542755,30,1.0,1.0,374.26214168689296,540.6650468423426,0.473938154092625,0.2097035860141069,1.5010245528667905,0.43485726894412546,66.01735069516653,small-medium,True,
