run_id,instance_id,difficulty_stratum,arm,metric,threshold,first_observed_process_seconds,convention
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,proof_gap,0.5,0.029339700000000003,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,proof_gap,0.25,0.0436598,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,proof_gap,0.1,0.2825532,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,proof_gap,0.05,0.3170475,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,proof_gap,0.02,0.32589260000000003,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,proof_gap,0.01,0.3426889,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,proof_gap,0.005,0.3429028,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,proof_gap,0.001,0.3439514,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,proof_gap,0.0,0.3471442,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,incumbent_gap,0.5,0.2623226,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,incumbent_gap,0.25,0.2623226,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,incumbent_gap,0.1,0.339729,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,incumbent_gap,0.05,0.339729,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,incumbent_gap,0.01,0.339729,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,incumbent_gap,0.001,0.339729,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,P-GRB,incumbent_gap,0.0,0.339729,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.5,1.4209937,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.25,1.4697523,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.1,1.5502757,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.05,1.6493392999999998,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.02,1.9252808000000001,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.01,1.9600626,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.005,1.9608531,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.001,1.9608531,left_continuous_observed_events_no_interpolation_no_post_final_extension
