leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,native_log
L0,LP,"OPTIMAL",0,22.6584,0.164,0.472167,0,2133,0,0.0292017,a57e9d772df5c74b042d38369f8f9c5282e1c865a2a675e6f9b6c0df4754c968,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0_lp.gurobi.log"
L0.0,LP,"OPTIMAL",0,22.3384,0.17,0.482534,0,1957,0,0.0310341,c9cd02a07e3c2a0d9f9edb8ce86d693efe552c9a4d30bd1852a3bef343b41473,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0_lp.gurobi.log"
L0.1,LP,"OPTIMAL",0,22.0198,0.149,0.42874,0,1888,0,0.0333793,4bf599df4bdb1857ffe4d95678fadb1209287bdd6a5d87b712ca743099d366ba,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.1_lp.gurobi.log"
L0.0.0,LP,"OPTIMAL",0,21.7227,0.129,0.362552,0,1529,0,0.0333793,d43ad79efe9ebfd8398736a7ba3201f907fbaa8b2769d9b3f779c9790b05b694,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0_lp.gurobi.log"
L0.0.1,LP,"OPTIMAL",0,21.445,0.138,0.379445,0,1630,0,0.0352365,b977f5e37edfd4726b1bcc3784a6eec8805fb9c5d8acc97dfe1f89143cd35634,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.1_lp.gurobi.log"
L0.0.0.0,LP,"INFEASIBLE",0,21.1575,0.00300002,0.00444774,0,0,0,0.0352365,85274e38b6e7179d2f3e0f340d9e69cb82a98dca20afdfb626783fcd3ab0b07d,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.0_lp.gurobi.log"
L0.0.0.1,LP,"OPTIMAL",0,21.0088,0.133,0.376027,0,1641,0,0.0371013,4f281ef364d8037db5e6c2904416ca1571596cb1ef185f0d8ebe69b395b8434a,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1_lp.gurobi.log"
L0.0.0.1.0,LP,"OPTIMAL",0,20.7288,0.138,0.373091,0,1601,0,0.0371013,58c165f8c448c79dde96e331911731018a07825872bc3456756a32ba035d0b5f,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.0_lp.gurobi.log"
L0.0.0.1.1,LP,"OPTIMAL",0,20.4413,0.154,0.426834,0,1841,0,0.0371052,de78f7bca351bed9cdc3e9a74c2f23a045180f1f15901af62f0a237aa2d685fe,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.1_lp.gurobi.log"
L0.0.0.1.0.0,LP,"OPTIMAL",0,20.1382,0.133,0.36807,0,1797,0,0.0371052,7734fb2b2babe65606c2490a1d4fcb7f1728716cd3810e38336856633f599fe1,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.0.0_lp.gurobi.log"
L0.0.0.1.0.1,LP,"OPTIMAL",0,19.8544,0.134,0.376963,0,1606,0,0.0389761,7c987c5193c6edb55b9fcaf6135e0da56db1cfe3b4d1ff80fc56ddb9a050a26e,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.0.1_lp.gurobi.log"
L0.0.0.1.1.0,LP,"OPTIMAL",0,19.5677,0.136,0.37423,0,1852,0,0.0389761,d13d0c7d862071cad8389dc27458e3f6896ed1d30a53c6bb24173d3bd9abfec4,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.1.0_lp.gurobi.log"
L0.0.0.1.1.1,LP,"OPTIMAL",0,19.2805,0.133,0.379882,0,1591,0,0.040847,17674df7f45a08db9096de2650ed1e0d87a9156daa97359ea9b4bd1700c9c5dd,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.1.1_lp.gurobi.log"
L0.0.0.1.0.0.0,LP,"OPTIMAL",0,18.9973,0.119,0.319095,0,1620,0,0.040847,2c40328493c180764fca438255d671844932a0203356451ab55e385160aa1c89,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.0.0.0_lp.gurobi.log"
L0.0.0.1.0.0.1,LP,"OPTIMAL",0,18.7312,0.15,0.418398,0,1776,0,0.0427104,89b890624dde0df54d069f48013aab3ae9e534e636132a8e71a9f56df7e483ae,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.0.0.1_lp.gurobi.log"
L0.0.0.1.0.1.0,LP,"OPTIMAL",0,18.4329,0.15,0.419604,0,1983,0,0.0427178,a008cd332f70e7c95c7830fcdb3bdf75cd1e04712004415efa9e7a86a35c65a9,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.0.1.0_lp.gurobi.log"
L0.0.0.1.0.1.1,LP,"OPTIMAL",0,18.1308,0.147,0.400019,0,1800,0,0.0445887,7fa5e7894fe9c2e52b5386d58afaefa1df5aa51e968be79f7f15dd7911807e6a,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.0.1.1_lp.gurobi.log"
L0.0.0.1.0.0.0,MIP,"INFEASIBLE",0,17.948,0.0079999,0.0157108,0,0,0,0.0445887,2c40328493c180764fca438255d671844932a0203356451ab55e385160aa1c89,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.0.0.0_terminal_mip.gurobi.log"
L0.0.0.1.0.0.1,MIP,"INFEASIBLE",0,17.9283,0.0079999,0.0158015,0,0,0,0.0445887,89b890624dde0df54d069f48013aab3ae9e534e636132a8e71a9f56df7e483ae,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.0.0.1_terminal_mip.gurobi.log"
L0.0.0.1.1.0.0,LP,"OPTIMAL",0,17.7959,0.138,0.366163,0,1639,0,0.0445887,921ce046ccd13a428c2562319824a191b711e225b0a5c4f9b8fe80a637920d4d,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.1.0.0_lp.gurobi.log"
L0.0.0.1.1.0.1,LP,"OPTIMAL",0,17.5057,0.129,0.34636,0,1528,0,0.0445887,6bcd9777f53eea7f57d68b8d370f7653166aefce82f9ccc93aa498729a46d67a,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.1.0.1_lp.gurobi.log"
L0.0.0.1.0.1.0,MIP,"INFEASIBLE",0,17.3421,0.0079999,0.0157305,0,0,0,0.0445887,a008cd332f70e7c95c7830fcdb3bdf75cd1e04712004415efa9e7a86a35c65a9,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.0.1.0_terminal_mip.gurobi.log"
L0.0.0.1.0.1.1,MIP,"INFEASIBLE",0,17.3223,0.00699997,0.0157587,0,0,0,0.0445887,7fa5e7894fe9c2e52b5386d58afaefa1df5aa51e968be79f7f15dd7911807e6a,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.0.1.1_terminal_mip.gurobi.log"
L0.0.0.1.1.1.0,LP,"OPTIMAL",0,17.1867,0.146,0.416062,0,1647,0,0.0445887,69117d94e5d50703b8ff3ac395967bbf1f46204d4d640b6c71eb063ee9e8b3a0,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.1.1.0_lp.gurobi.log"
L0.0.0.1.1.1.1,LP,"OPTIMAL",0,16.8903,0.143,0.39963,0,1621,0,0.0445887,bafeb7d38d9677f31d610cdb0d0d7afaeac5ba6c6e25c468eb44ef05da7b71c3,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.1.1.1_lp.gurobi.log"
L0.0.0.1.1.0.0,MIP,"INFEASIBLE",0,16.712,0.00800014,0.0158417,0,0,0,0.0445887,921ce046ccd13a428c2562319824a191b711e225b0a5c4f9b8fe80a637920d4d,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.1.0.0_terminal_mip.gurobi.log"
L0.0.0.1.1.0.1,MIP,"INFEASIBLE",0,16.6926,0.00800014,0.0158835,0,0,0,0.0445887,6bcd9777f53eea7f57d68b8d370f7653166aefce82f9ccc93aa498729a46d67a,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.1.0.1_terminal_mip.gurobi.log"
L0.0.0.1.1.1.0,MIP,"INFEASIBLE",0,16.673,0.00800014,0.0159234,0,0,0,0.0445887,69117d94e5d50703b8ff3ac395967bbf1f46204d4d640b6c71eb063ee9e8b3a0,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\moderate4301_c4_60s\external\native_logs\L0.0.0.1.1.1.0_terminal_mip.gurobi.log"
