parent_id,parent_lp_bound,left_id,left_lp_bound,left_infeasible,right_id,right_lp_bound,right_infeasible,post_split_bound,tolerance,decision
L1,0.206824,L1.0,0.208433,0,L1.1,0.243882,0,0.208433,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L2,0.289176,L2.0,0.289176,0,L2.1,0.334471,0,0.289176,1e-07,"no_strict_child_disjunction_gain"
L1.0,0.208433,L1.0.0,0.213375,0,L1.0.1,0.223298,0,0.213375,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L1.0.0,0.213375,L1.0.0.0,0,1,L1.0.0.1,0.21899,0,0.21899,1e-07,"complete_child_lp_infeasibility"
L1.0.0.1,0.21899,L1.0.0.1.0,0.249931,0,L1.0.0.1.1,0.22205,0,0.22205,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L1.0.0.1.1,0.22205,L1.0.0.1.1.0,0.223678,0,L1.0.0.1.1.1,0.223573,0,0.223573,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L1.0.1,0.223298,L1.0.1.0,0.223651,0,L1.0.1.1,0.232795,0,0.223651,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
L1.0.0.1.1.1,0.223573,L1.0.0.1.1.1.0,0.223943,0,L1.0.0.1.1.1.1,0.224333,0,0.223943,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
L1.0.0.1.1.0,0.223678,L1.0.0.1.1.0.0,0.235275,0,L1.0.0.1.1.0.1,0.22415,0,0.22415,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
L1.0.0.1.1.1.0,0.22677,L1.0.0.1.1.1.0.0,0.22413,0,L1.0.0.1.1.1.0.1,0.224325,0,0.22413,1e-07,"no_strict_child_disjunction_gain"
L1.0.0.1.1.1.1,0.22677,L1.0.0.1.1.1.1.0,0.22452,0,L1.0.0.1.1.1.1.1,0.224713,0,0.22452,1e-07,"no_strict_child_disjunction_gain"
L1.0.1.0,0.227213,L1.0.1.0.0,0.223982,0,L1.0.1.0.1,0.227666,0,0.223982,1e-07,"no_strict_child_disjunction_gain"
L1.0.1.1,0.232795,L1.0.1.1.0,0.232795,0,L1.0.1.1.1,0.23822,0,0.232795,1e-07,"no_strict_child_disjunction_gain"
L1.0.0.1.1.0.0,0.237478,L1.0.0.1.1.0.0.0,0.243197,0,L1.0.0.1.1.0.0.1,0.23545,0,0.23545,1e-07,"no_strict_child_disjunction_gain"
L1.0.0.1.1.0.1,0.237478,L1.0.0.1.1.0.1.0,0.22922,0,L1.0.0.1.1.0.1.1,0.224388,0,0.224388,1e-07,"no_strict_child_disjunction_gain"
L1.1,0.243882,L1.1.0,0.243882,0,L1.1.1,0.266529,0,0.243882,1e-07,"no_strict_child_disjunction_gain"
