leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,closure_source,lower_bound_sources
L0,"",0,-1,0,0.090588665696146153,0,0.36235466278458461,empty,1,0,1,0,0,0,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L1,"",0,-1,0.090588665696146153,0.18117733139229231,0.090588665696146153,0.20682410371683468,replaced,1,1,0,0.20682410371683468,0,0,0,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L2,"",0,-1,0.18117733139229231,0.27176599708843846,0.18117733139229231,1e+100,empty,1,1,0,0.28917631309429254,1,0,0,0,"native_terminal_mip_infeasible","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;native_terminal_mip_bound"
L3,"",0,-1,0.27176599708843846,0.36235466278458461,0.27176599708843846,0.27176599708843846,open,0,0,0,0,0,0,0,0,"","objective_nonnegative_penalty_G_floor"
L1.0,"L1",1,0,0.090588665696146153,0.13588299854421923,0.20843292656852036,0.20843292656852036,replaced,1,1,0,0.20843292656852036,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L1.1,"L1",1,1,0.13588299854421923,0.18117733139229231,0.24388198024621935,0.33395956920936137,open,1,1,0,0.24388198024621935,1,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;native_terminal_mip_bound"
L1.0.0,"L1.0",2,0,0.090588665696146153,0.11323583212018269,0.21337541250797037,0.21337541250797037,replaced,1,1,0,0.21337541250797037,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L1.0.1,"L1.0",2,1,0.11323583212018269,0.13588299854421923,0.22329846061877026,0.22721345747869867,replaced,1,1,0,0.22329846061877026,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_partial_native_mip_bound"
L1.0.0.0,"L1.0.0",3,0,0.090588665696146153,0.10191224890816442,0.21337541250797037,0.36235466278458461,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L1.0.0.1,"L1.0.0",3,1,0.10191224890816442,0.11323583212018269,0.21899042090752266,0.21899042090752266,replaced,1,1,0,0.21899042090752266,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L1.0.0.1.0,"L1.0.0.1",4,0,0.10191224890816442,0.10757404051417355,0.24993056152868925,0.24993056152868925,open,1,1,0,0.24993056152868925,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L1.0.0.1.1,"L1.0.0.1",4,1,0.10757404051417355,0.11323583212018269,0.22204960624214506,0.22204960624214506,replaced,1,1,0,0.22204960624214506,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L1.0.0.1.1.0,"L1.0.0.1.1",5,0,0.10757404051417355,0.11040493631717813,0.22367838536133938,0.23747816232218194,replaced,1,1,0,0.22367838536133938,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_partial_native_mip_bound"
L1.0.0.1.1.1,"L1.0.0.1.1",5,1,0.11040493631717813,0.11323583212018269,0.22357265555438521,0.22677023237615876,replaced,1,1,0,0.22357265555438521,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_partial_native_mip_bound"
L1.0.0.1.1.1.0,"L1.0.0.1.1.1",6,0,0.11040493631717813,0.1118203842186804,0.22677023237615876,1e+100,empty,1,1,0,0.22394312394066015,1,0,0,0,"native_terminal_mip_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;inherited_parent_partial_native_bound;native_terminal_mip_bound"
L1.0.0.1.1.1.1,"L1.0.0.1.1.1",6,1,0.1118203842186804,0.11323583212018269,0.22677023237615876,1e+100,empty,1,1,0,0.22433251326994266,1,0,0,0,"native_terminal_mip_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;inherited_parent_partial_native_bound;native_terminal_mip_bound"
L1.0.1.0,"L1.0.1",3,0,0.11323583212018269,0.12455941533220097,0.22721345747869867,1e+100,empty,1,1,0,0.22365075544042101,1,0,0,0,"native_terminal_mip_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;inherited_parent_partial_native_bound;native_terminal_mip_bound"
L1.0.1.1,"L1.0.1",3,1,0.12455941533220097,0.13588299854421923,0.23279501914147072,1e+100,empty,1,1,0,0.23279501914147072,1,0,0,0,"native_terminal_mip_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;inherited_parent_partial_native_bound;native_terminal_mip_bound"
L1.0.0.1.1.0.0,"L1.0.0.1.1.0",6,0,0.10757404051417355,0.10898948841567584,0.23747816232218194,1e+100,empty,1,1,0,0.23527452499054882,1,0,0,0,"native_terminal_mip_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;inherited_parent_partial_native_bound;native_terminal_mip_bound"
L1.0.0.1.1.0.1,"L1.0.0.1.1.0",6,1,0.10898948841567584,0.11040493631717813,0.23747816232218194,1e+100,empty,1,1,0,0.22414958194309573,1,0,0,0,"native_terminal_mip_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;inherited_parent_partial_native_bound;native_terminal_mip_bound"
