parent_id,eligible,decision_valid,split,child_infeasibility_trigger,strict_bound_trigger,normalized_disjunction_gain,parent_native_bound_target,target_phase_required,reason
L1,true,1,1,0,0,0.0103441,,0,"normalized_child_disjunction_gain_reaches_rho"
L2,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L1.0,true,1,1,0,0,0.0321104,,0,"normalized_child_disjunction_gain_reaches_rho"
L1.0.0,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L1.0.0.1,true,1,1,0,0,0.0213386,,0,"normalized_child_disjunction_gain_reaches_rho"
L1.0.0.1.1,true,1,1,0,0,0.0108553,,0,"normalized_child_disjunction_gain_reaches_rho"
L1.0.1,true,1,0,0,0,0.00253347,0.223651,1,"small_positive_disjunction_gain_requires_parent_native_target"
L1.0.0.1.1.1,true,1,0,0,0,0.00266943,0.223943,1,"small_positive_disjunction_gain_requires_parent_native_target"
L1.0.0.1.1.0,true,1,0,0,0,0.00339782,0.22415,1,"small_positive_disjunction_gain_requires_parent_native_target"
L1.0.0.1.1.1.0,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L1.0.0.1.1.1.1,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L1.0.1.0,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L1.0.1.1,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L1.0.0.1.1.0.0,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L1.0.0.1.1.0.1,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L1.1,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
