vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,15,5,2,0,0,2,514.1998987221249,120.0,22
0,2,15,5,19,12,0,2,14,464.3975933235265,720.0,30
0,3,5,19,7,0,7,14,7,284.38468711056095,420.0,9
0,4,19,7,0,0,7,7,0,216.35120190179092,420.0,9
1,1,0,10,6,5,0,0,5,270.7036536377874,300.0,13
1,2,10,6,16,12,0,5,17,369.9404396554913,720.0,27
1,3,6,16,1,0,8,17,9,226.35063316991852,480.0,10
1,4,16,1,0,0,9,9,0,281.94320257972646,540.0,13
2,1,0,12,18,20,0,0,20,86.47685426526834,1200.0,35
2,2,12,18,0,0,20,20,0,400.7953437575732,1200.0,29
