run_id,event_sequence,elapsed_wall_seconds,global_LB,verified_UB,gap,controlling_set,event_source
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,0,80.3872,1.74211,2.4434,0.287016,2,solver_final_merge
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,1,110.555,1.97961,2.4434,0.189815,3,solver_final_merge
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,2,111.081,2.28417,2.4434,0.0651675,2,solver_final_merge
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,3,171.396,2.28881,2.4434,0.0632683,2,solver_final_merge
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,4,291.619,2.29318,2.4434,0.0614815,2,solver_final_merge
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,5,294.176,2.29318,2.4434,0.0614815,2,solver_final_merge
