run_id,event_sequence,elapsed_wall_seconds,remaining_wall_seconds,cutoff,global_lb_before,global_lb_after,controlling_set,selected_leaf_id,gamma_L,gamma_U,leaf_bound_before,leaf_bound_after,competing_minimum_bound,action_type,tie_round,selection_position,attempt_number,requested_quantum,effective_native_time_limit,actual_solver_time,solver_status,solver_final_best_bound,checkpoint_best_bound,checkpoint_acceptance_status,checkpoint_rejection_reason,leaf_status_after,model_fingerprint,parent_id,child_ids,finalization_source,native_time_limit_param_id,native_time_limit_set_rc
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,0,80.3494,819.651,2.4434,1.50461,1.74211,1,1,0.2375,0.475,1.50461,2.30094,1.50461,exact_solve,0,0,0,30,30,30.1384,"time limit exceeded, no integer solution",2.30094,0,not_seen,not_seen,open,cc272ce159ab7e53,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,1,110.495,789.505,2.4434,1.74211,1.97961,2,2,0.475,0.7125,1.74211,2.28417,1.74211,exact_solve,0,0,0,30,30,30.1396,"time limit exceeded, no integer solution",2.28417,0,not_seen,not_seen,open,8f5b04d2a8abfa94,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,2,111.015,788.985,2.4434,1.97961,2.28417,3,3,0.7125,0.95,1.97961,2.4434,1.97961,exact_solve,0,0,0,30,30,0.511309,integer infeasible,1e+75,0,not_seen,not_seen,fathomed,3d3ff63f228c24db,root,none,cplex_solver_final,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,3,171.183,728.817,2.4434,2.28417,2.28881,2,2,0.475,0.7125,2.28417,2.28881,2.28417,exact_solve,0,0,1,60,60,60.1624,"time limit exceeded, no integer solution",2.28881,0,not_seen,not_seen,open,8f5b04d2a8abfa94,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,4,291.408,608.592,2.4434,2.28881,2.29318,2,2,0.475,0.7125,2.28881,2.29318,2.28881,exact_solve,0,0,2,120,120,120.219,"time limit exceeded, no integer solution",2.29318,0,not_seen,not_seen,open,8f5b04d2a8abfa94,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,5,531.623,368.377,2.4434,2.29318,2.30094,2,2,0.475,0.7125,2.29318,2.3221,2.29318,exact_solve,0,0,3,240,240,240.206,"time limit exceeded, no integer solution",2.3221,0,not_seen,not_seen,open,8f5b04d2a8abfa94,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,6,591.801,308.199,2.4434,2.30094,2.30204,1,1,0.2375,0.475,2.30094,2.30204,2.30094,exact_solve,0,0,1,60,60,60.1697,"time limit exceeded, no integer solution",2.30204,0,not_seen,not_seen,open,cc272ce159ab7e53,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,7,712.12,187.88,2.4434,2.30204,2.30361,1,1,0.2375,0.475,2.30204,2.30361,2.30204,exact_solve,0,0,2,120,120,120.31,"time limit exceeded, no integer solution",2.30361,0,not_seen,not_seen,open,cc272ce159ab7e53,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,8,882.19,17.8097,2.4434,2.30361,2.30361,1,1,0.2375,0.475,2.30361,2.30361,2.30361,exact_solve,0,0,3,240,169.88,170.063,"time limit exceeded, no integer solution",2.30361,0,not_seen,not_seen,open,cc272ce159ab7e53,root,none,cplex_time_limit_with_valid_best_bound,1039,0
