interval_id,parent_id,depth,gamma_L,gamma_U,status,closed,split,children,time_limit_used,runtime_seconds,certificate_basis,solver_status
1,root,0,0.2375,0.475,interval_unresolved_timeout,false,false,0,30,30.1383912,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
2,root,0,0.475,0.7125,interval_unresolved_timeout,false,false,0,30,30.13961,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
3,root,0,0.7125,0.95,interval_closed,true,false,0,30,0.5113087,interval_exact_cutoff_mip_infeasible,integer infeasible
2,root,0,0.475,0.7125,interval_unresolved_timeout,false,false,0,60,60.1623946,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
2,root,0,0.475,0.7125,interval_unresolved_timeout,false,false,0,120,120.2194082,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
2,root,0,0.475,0.7125,interval_unresolved_timeout,false,false,0,240,240.2061676,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
1,root,0,0.2375,0.475,interval_unresolved_timeout,false,false,0,60,60.1697411,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
1,root,0,0.2375,0.475,interval_unresolved_timeout,false,false,0,120,120.3096324,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
1,root,0,0.2375,0.475,interval_unresolved_timeout,false,false,0,169.8801751,170.0625326,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
1,root,0,0.2375,0.475,skipped_budget_exhausted,false,false,0,0,0,budget_exhausted,not_run
