"progress_log","checkpoints","initial_UB","best_UB","initial_LB","best_LB","final_gap","last_checkpoint_elapsed","last_event","gap_still_decreasing","unresolved_intervals_at_end","open_nodes_at_end","bound_time_seconds","route_mask_time_seconds","master_time_seconds","pricing_time_seconds"
"E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m1_paper_bpc_core_3600s.csv","19","0.493696053863","0.357200583208","0","0.33773400095","0.0544976217113","3602.1239507","final_summary","True","2","2","272.5016317","","417.3760344","2905.8100286"
"E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m1_paper_exact_portfolio_3600s.csv","19","0.493696053863","0.357200583208","0","0.337729365558","0.054510598711","3606.3196526","final_summary","True","2","2","273.1492756","","415.7697067","2910.8127477"
"E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_ablation_base_bpc_1200s.csv","18","1.00822320985","0.719065249476","0","0.719065249476","0.0283076412958","1196.306839","final_summary","True","2","2","228.4350137","","283.6662465","675.8376128"
"E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_ablation_plus_branching_1200s.csv","1","1.00822320985","1.00822320985","0","0","1","0.0002343","initial_empty_incumbent","False","0","0","0","","0","0"
"E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_ablation_plus_dominance_1200s.csv","18","1.00822320985","0.719065249476","0","0.719065249476","0.0283076412958","1190.6078976","final_summary","True","2","2","226.6814221","","370.8978345","585.9118626"
"E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_ablation_plus_movement_projection_1200s.csv","18","1.00822320985","0.719065249476","0","0.719065249476","0.0368055134852","1169.7547971","final_summary","True","3","3","252.1906091","","402.2325346","511.2159298"
"E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_ablation_plus_operation_budget_1200s.csv","18","1.00822320985","0.719065249476","0","0.719065249476","0.0283076412958","1180.4597166","final_summary","True","3","3","231.9822157","","360.9974413","580.2715692"
"E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_ablation_plus_vehicle_relaxation_1200s.csv","14","1.00822320985","0.719065249476","0","0.719065249476","0","662.6890696","final_summary","True","0","0","178.9783844","","191.6803919","263.2646306"
"E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_paper_bpc_core_3600s.csv","18","1.00822320985","0.719065249476","0","0.719065249476","0.0283076412958","3604.6072618","final_summary","True","3","3","226.5443853","","557.1821736","2810.1278846"
"E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_paper_exact_portfolio_3600s.csv","18","1.00822320985","0.719065249476","0","0.719065249476","0.0283076412958","3606.3927953","final_summary","True","3","3","230.8245499","","552.9764907","2811.7261635"
