name,group,method,requested_time_limit,actual_time_limit,exit_code,start_time,end_time,result_file,log_file,progress_log
"v4_paper_bpc_core","smoke","gcap-frontier",30,30,0,"2026-06-23T15:09:49.9094655+08:00","2026-06-23T15:09:58.2322316+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_paper_bpc_core.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_paper_bpc_core.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_paper_bpc_core.csv"
"v4_paper_exact_portfolio","smoke","gcap-frontier",30,30,0,"2026-06-23T15:09:58.2452325+08:00","2026-06-23T15:10:06.4592120+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_paper_exact_portfolio.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_paper_exact_portfolio.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_paper_exact_portfolio.csv"
"v4_paper_bpc_experimental","smoke","gcap-frontier",30,30,0,"2026-06-23T15:10:06.4632116+08:00","2026-06-23T15:10:14.6694892+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_paper_bpc_experimental.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_paper_bpc_experimental.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_paper_bpc_experimental.csv"
"v4_diagnostic_large","smoke","large-relaxed-rmp-cg-test",30,30,0,"2026-06-23T15:10:14.6935921+08:00","2026-06-23T15:10:14.7118482+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_diagnostic_large.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_diagnostic_large.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_diagnostic_large.csv"
"v4_pricing","smoke-diagnostic","pricing",60,60,0,"2026-06-23T15:10:14.7219779+08:00","2026-06-23T15:10:14.7399729+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_pricing.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_pricing.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_pricing.csv"
"v4_pricing-branch","smoke-diagnostic","pricing-branch",60,60,0,"2026-06-23T15:10:14.7489736+08:00","2026-06-23T15:10:14.7664269+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_pricing-branch.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_pricing-branch.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_pricing-branch.csv"
"v4_cuts","smoke-diagnostic","cuts",60,60,0,"2026-06-23T15:10:14.7754256+08:00","2026-06-23T15:10:14.7925402+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_cuts.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_cuts.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_cuts.csv"
"v4_branching","smoke-diagnostic","branching",60,60,0,"2026-06-23T15:10:14.7976474+08:00","2026-06-23T15:10:14.8147743+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_branching.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_branching.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_branching.csv"
"v4_master","smoke-diagnostic","master",60,60,0,"2026-06-23T15:10:14.8238780+08:00","2026-06-23T15:10:14.8409766+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_master.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_master.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_master.csv"
"v4_cg","smoke-diagnostic","cg",60,60,0,"2026-06-23T15:10:14.8562312+08:00","2026-06-23T15:10:14.9434622+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_cg.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_cg.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_cg.csv"
"v4_gcap-cg","smoke-diagnostic","gcap-cg",60,60,0,"2026-06-23T15:10:14.9586771+08:00","2026-06-23T15:10:15.1962250+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_gcap-cg.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_gcap-cg.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_gcap-cg.csv"
"v4_gcap-tree","smoke-diagnostic","gcap-tree",60,60,0,"2026-06-23T15:10:15.2012257+08:00","2026-06-23T15:10:20.0765723+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_gcap-tree.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_gcap-tree.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_gcap-tree.csv"
"v4_gcap-frontier","smoke-diagnostic","gcap-frontier",60,60,0,"2026-06-23T15:10:20.0815731+08:00","2026-06-23T15:10:25.9277367+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_gcap-frontier.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_gcap-frontier.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_gcap-frontier.csv"
"v4_dominance-test","smoke-diagnostic","dominance-test",60,60,0,"2026-06-23T15:10:25.9418996+08:00","2026-06-23T15:10:25.9590298+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_dominance-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_dominance-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_dominance-test.csv"
"v4_support-pruning-test","smoke-diagnostic","support-pruning-test",60,60,0,"2026-06-23T15:10:25.9846143+08:00","2026-06-23T15:10:26.0023177+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_support-pruning-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_support-pruning-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_support-pruning-test.csv"
"v4_route-mask-support-test","smoke-diagnostic","route-mask-support-test",60,60,0,"2026-06-23T15:10:26.0224870+08:00","2026-06-23T15:10:26.1948154+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_route-mask-support-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_route-mask-support-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_route-mask-support-test.csv"
"v4_route-mask-operation-budget-test","smoke-diagnostic","route-mask-operation-budget-test",60,60,0,"2026-06-23T15:10:26.2216514+08:00","2026-06-23T15:10:26.3916037+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_route-mask-operation-budget-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_route-mask-operation-budget-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_route-mask-operation-budget-test.csv"
"v4_adaptive-frontier-split-test","smoke-diagnostic","adaptive-frontier-split-test",60,60,0,"2026-06-23T15:10:26.4012589+08:00","2026-06-23T15:10:26.4190609+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_adaptive-frontier-split-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_adaptive-frontier-split-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_adaptive-frontier-split-test.csv"
"v4_inventory-branching-test","smoke-diagnostic","inventory-branching-test",60,60,0,"2026-06-23T15:10:26.4237020+08:00","2026-06-23T15:10:26.4402451+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_inventory-branching-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_inventory-branching-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_inventory-branching-test.csv"
"v4_operation-mode-branching-test","smoke-diagnostic","operation-mode-branching-test",60,60,0,"2026-06-23T15:10:26.4564898+08:00","2026-06-23T15:10:26.4739438+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_operation-mode-branching-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_operation-mode-branching-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_operation-mode-branching-test.csv"
"v4_pricing-closure-audit-test","smoke-diagnostic","pricing-closure-audit-test",60,60,0,"2026-06-23T15:10:26.5010431+08:00","2026-06-23T15:10:26.5183052+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_pricing-closure-audit-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_pricing-closure-audit-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_pricing-closure-audit-test.csv"
"v4_resume-state-test","smoke-diagnostic","resume-state-test",60,60,0,"2026-06-23T15:10:26.5442641+08:00","2026-06-23T15:10:26.5635273+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_resume-state-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_resume-state-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_resume-state-test.csv"
