run,returncode,events,generated,mapped,submitted,last_acceptance,last_status,all_checked_linear_rows_valid,maximum_linear_violation
dry,,1,1,1,0,not_submitted,verified_mapped_dry_run,True,0.0
final-inject,0,1,1,1,1,confirmed_submitted_integer_decision_vector_is_final_native_solution,submitted_integer_decisions_match_final_native_solution,True,0.0
inject,,1,1,1,1,unknown_pending_exact_vector_observation,submitted_for_delayed_processing,True,0.0
inject-confirmation,,1,1,1,1,unknown_pending_exact_vector_observation,submitted_for_delayed_processing,True,0.0
inject-confirmation2,,1,1,1,1,confirmed_submitted_integer_decision_vector_is_final_native_solution,submitted_integer_decisions_match_final_native_solution,True,0.0
off,,0,0,0,0,,,True,0.0
