id,sample_kind,root_callback_sequence,root_completion_status,sampling_seconds,eligible_callback_checks,successful_samples,nonoptimal_or_failed_sample_checks,root_callback_count,model_G,inventory_exact_G,delta_G_exact_minus_model,absolute_delta_G,max_abs_zprod_minus_G_times_Y,inventory_exact_P,inventory_exact_objective,Y_count,Y_fractional_count,Y_max_fractionality,bit_count,bit_fractional_count,bit_max_fractionality,visit_z_count,visit_z_fractional_count,visit_z_max_fractionality,mode_count,mode_fractional_count,mode_max_fractionality,arc_x_count,arc_x_fractional_count,arc_x_max_fractionality
D3,first_root_relaxation,1,confirmed_complete_before_nonroot,0.037122399999999674,11137,7930,3207,30,0.0190058494609019,0.034684684684684684,0.015678835223782783,0.015678835223782783,0.41812868813984183,0.065625,0.04452843468468468,12,0,0.0,68,43,0.48275073536151086,36,19,0.4117647058823529,36,11,0.3293641343176947,468,38,0.4458442724378846
D3,latest_root_relaxation,30,confirmed_complete_before_nonroot,0.037122399999999674,11137,7930,3207,30,0.007001801233206711,0.010107594491793737,0.003105793258587026,0.003105793258587026,0.11177675972171226,0.16966482743106043,0.0355573186064528,12,10,0.4908961909410223,68,37,0.48003600876595126,36,10,0.36619511312892716,36,7,0.41083330280733665,468,31,0.4121881426362617
D4,first_root_relaxation,1,confirmed_complete_before_nonroot,0.04962960000000493,19156,11112,8044,28,0.03634217589401345,0.07418051686061734,0.03783834096660389,0.03783834096660389,1.3810026839725111,0.7552187776894335,0.18746333351403235,12,6,0.3395893214472743,67,37,0.4900884974834509,36,28,0.4736842105263159,36,14,0.4736842105263159,468,58,0.4736842105263158
D4,latest_root_relaxation,28,confirmed_complete_before_nonroot,0.04962960000000493,19156,11112,8044,28,0.107531180418059,0.14598774579827847,0.03845656538021948,0.03845656538021948,1.782660985199957,1.7115041705900815,0.40271337138679064,12,11,0.49441848440082303,67,51,0.49963545604030846,36,26,0.4664940758677699,36,14,0.4440525368189351,468,45,0.4664940758677699
D6,first_root_relaxation,1,confirmed_complete_before_nonroot,0.011558899999999999,640,617,23,42,0.00906671973652065,0.026350461133069842,0.017283741396549195,0.017283741396549195,0.22041721734893027,0.800438006825938,0.14641616215696054,30,25,0.47440273037542635,156,95,0.4375,90,15,0.45945945945945954,90,10,0.45945945945945954,2790,38,0.45945945945945954
D6,latest_root_relaxation,42,confirmed_complete_before_nonroot,0.011558899999999999,640,617,23,42,0.015026874701824417,0.02353756752806451,0.008510692826240094,0.008510692826240094,0.26098706829415635,0.8166772798006288,0.14603915949815882,30,29,0.4898079720100732,156,119,0.4982400498692733,90,46,0.4856615503617767,90,20,0.4856615503617767,2790,98,0.4856615503617767
D7,first_root_relaxation,1,last_observed_root_relaxation,0.002337,23,23,0,23,0.025957254086342644,0.08838427947598256,0.062427025389639915,0.062427025389639915,1.245948196144447,0.9945728701298702,0.23757020999546308,50,28,0.4155844155844157,267,157,0.3309998858718566,200,42,0.4990723562152134,200,15,0.49907235621521334,10200,109,0.4990723562152134
D7,latest_root_relaxation,23,last_observed_root_relaxation,0.002337,23,23,0,23,0.02150066609544517,0.03822970900156985,0.01672904290612468,0.01672904290612468,0.42275832847766304,1.150059335598751,0.2107386093413825,50,44,0.47853205767232065,267,178,0.49838009370636444,200,86,0.49041236836239965,200,40,0.4212556777126444,10200,198,0.49041236836239965
