stage,cap_seconds,id,mode,status,native_status,certificate,lower_bound,verified_upper_bound,absolute_gap,relative_gap,work,nodes,simplex_iterations,root_time_seconds,root_callback_count,root_completion_status,process_seconds,candidate_triggers,candidates_generated,candidates_verified,candidates_mapped,candidates_submitted,candidates_confirmed,candidate_acceptance_unknown,candidate_objective,candidate_overhead_seconds,model_sha256
fixed_120,120,D3,DRY,capped,TIME_LIMIT,False,0.03870489047550475,0.04500155005562836,0.006296659580123605,0.13992094877487626,187.97428778182731,11103,1262515,2.1992482,30,confirmed_complete_before_nonroot,118.0339469,3,3,3,1,0,0,0,0.11112610824941914,0.0010854999999999999,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5
fixed_120,120,D3,INJECT,capped,TIME_LIMIT,False,0.04059805018871085,0.04505416158053462,0.0044561113918237735,0.0989056556708628,177.63139544016084,10870,1307742,1.9608907,22,confirmed_complete_before_nonroot,118.0398305,3,3,3,1,1,1,0,0.11112610824941914,0.0010586,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5
fixed_120,120,D3,OFF,capped,TIME_LIMIT,False,0.03871422181889262,0.04500155005562836,0.006287328236735737,0.13971359273099926,188.28848982860922,11114,1265934,2.2072334,30,confirmed_complete_before_nonroot,118.0329828,0,0,0,0,0,0,0,,0,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5
fixed_120,120,D4,DRY,exact,OPTIMAL,True,0.5063433072459947,0.506343307565206,3.1921121301792255e-10,6.304244733733646e-10,140.87267731766892,19132,675029,2.1883011,28,confirmed_complete_before_nonroot,89.8414894,3,3,3,1,0,0,0,0.6298595581519119,0.0007588,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601
fixed_120,120,D4,INJECT,exact,OPTIMAL,True,0.5063433069592103,0.506343307565206,6.059956980664083e-10,1.1968079542324537e-09,142.98812123221822,26707,825281,1.9484816,26,confirmed_complete_before_nonroot,92.5923796,3,3,3,1,1,1,0,0.6298595581519119,0.0007366,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601
fixed_120,120,D4,OFF,exact,OPTIMAL,True,0.5063433072459947,0.506343307565206,3.1921121301792255e-10,6.304244733733646e-10,140.87267731766892,19132,675029,2.2104556,28,confirmed_complete_before_nonroot,89.7365233,0,0,0,0,0,0,0,,0,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601
fixed_120,120,D6,DRY,capped,TIME_LIMIT,False,0.1382120953969077,0.1885912102417383,0.0503791148448306,0.26713394956347164,254.91268445339512,604,600579,23.3021504,42,confirmed_complete_before_nonroot,118.1361633,3,3,3,1,0,0,0,0.99362944713727,0.0030145000000000003,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec
fixed_120,120,D6,INJECT,capped,TIME_LIMIT,False,0.1382120953969077,0.1885912102417383,0.0503791148448306,0.26713394956347164,254.66681317376793,604,599203,23.3160647,42,confirmed_complete_before_nonroot,118.1366493,3,3,3,1,1,0,1,0.99362944713727,0.0030156999999999996,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec
fixed_120,120,D6,OFF,capped,TIME_LIMIT,False,0.1382120953969077,0.1885912102417383,0.0503791148448306,0.26713394956347164,254.64289901581273,604,599033,23.3153408,42,confirmed_complete_before_nonroot,118.1335047,0,0,0,0,0,0,0,,0,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec
fixed_120,120,D7,DRY,capped,TIME_LIMIT,False,0.1950760955582813,0.6712367708118434,0.4761606752535621,0.7093781150839787,285.40705786547755,1,200234,116.9331405,23,last_observed_root_relaxation,118.3450335,3,3,3,1,0,0,0,1.4835579219361095,0.0096116,a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675
fixed_120,120,D7,INJECT,capped,TIME_LIMIT,False,0.1950760955582813,0.6712367708118434,0.4761606752535621,0.7093781150839787,285.4092611112937,1,200236,116.937376,23,last_observed_root_relaxation,118.3457575,3,3,3,1,1,0,1,1.4835579219361095,0.0095066,a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675
fixed_120,120,D7,OFF,capped,TIME_LIMIT,False,0.1950760955582813,0.6712367708118434,0.4761606752535621,0.7093781150839787,284.86470709379523,1,199832,116.9312259,23,last_observed_root_relaxation,118.3593126,0,0,0,0,0,0,0,,0,a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675
long_600,600,D3,INJECT,exact,OPTIMAL,True,0.04500154970005924,0.04500155005562836,3.5556911581746675e-10,7.901263742647363e-09,758.5424809147036,39829,7819737,1.946513,22,confirmed_complete_before_nonroot,470.5642355,3,3,3,1,1,1,0,0.11112610824941914,0.0010636,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5
long_600,600,D3,OFF,exact,OPTIMAL,True,0.04500154968743541,0.04500155005562836,3.681929483523305e-10,8.181783691832644e-09,523.2655361275802,26739,4886256,2.2038102,30,confirmed_complete_before_nonroot,316.2757031,0,0,0,0,0,0,0,,0,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5
long_600,600,D4,INJECT,exact,OPTIMAL,True,0.5063433069592103,0.506343307565206,6.059956980664083e-10,1.1968079542324537e-09,142.98812123221822,26707,825281,1.9576113,26,confirmed_complete_before_nonroot,92.4050234,3,3,3,1,1,1,0,0.6298595581519119,0.0007447,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601
long_600,600,D4,OFF,exact,OPTIMAL,True,0.5063433072459947,0.506343307565206,3.1921121301792255e-10,6.304244733733646e-10,140.87267731766892,19132,675029,2.187562,28,confirmed_complete_before_nonroot,90.6838915,0,0,0,0,0,0,0,,0,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601
long_600,600,D6,INJECT,capped,TIME_LIMIT,False,0.14506239624087944,0.1581871631718786,0.013124766930999149,0.08296986094085528,1301.1312845053374,7459,2909459,23.2108632,42,confirmed_complete_before_nonroot,598.1366213,3,3,3,1,1,0,1,0.99362944713727,0.0030967,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec
long_600,600,D6,OFF,capped,TIME_LIMIT,False,0.14507015495208261,0.1581871631718786,0.013117008219795973,0.08292081327448587,1303.1438811007529,7460,2916145,23.2526394,42,confirmed_complete_before_nonroot,598.1373861,0,0,0,0,0,0,0,,0,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec
