stage,id,off_arm,inject_arm,same_executable_sha256,off_LB,inject_LB,off_UB,inject_UB,off_absolute_gap,inject_absolute_gap,absolute_gap_reduction,relative_absolute_gap_reduction,off_minus_inject_seconds,candidate_submitted,candidate_confirmed,candidate_acceptance_unknown,predeclared_decision
integration_120,D1,Single-S,Single-S+INJECT,True,0,0,0,0,0.0,0.0,0.0,0.0,0.17423129999999998,2,2,0,neutral_subsecond_timing
integration_120,C1,Single-S,Single-S+INJECT,True,0.19548547969585406,0.19405733216054247,0.26181696296169055,0.26181696296169055,0.06633148326583649,0.06775963080114808,-0.0014281475353115913,-0.021530462835996123,0.0003358000000019956,1,1,0,neutral_below_predeclared_threshold
partial_integration_120,C2,K1-H,K1-H+INJECT,True,0.7696915025664801,0.7696915025664801,0.8299634131717752,0.8299634131717752,0.06027191060529513,0.06027191060529513,0.0,0.0,-0.004149300000008793,0,0,0,neutral_below_predeclared_threshold
