vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,18,6,6,0,0,6,679.8172205598788,360.0,10
0,2,18,6,7,7,0,6,13,1042.300882456613,420.0,10
0,3,6,7,8,6,0,13,19,406.69899122657665,360.0,10
0,4,7,8,1,0,7,19,12,282.4935790060316,420.0,10
0,5,8,1,2,0,7,12,5,633.5571741199889,420.0,9
0,6,1,2,10,6,0,5,11,213.19872840341398,360.0,8
0,7,2,10,16,9,0,11,20,543.2937047802119,540.0,13
0,8,10,16,14,0,8,20,12,515.8444169163247,480.0,10
0,9,16,14,3,0,6,12,6,552.876500937046,360.0,10
0,10,14,3,0,0,6,6,0,422.60928656820573,360.0,10
1,1,0,13,15,6,0,0,6,207.70544087047153,360.0,8
1,2,13,15,5,5,0,6,11,130.82446699138282,300.0,7
1,3,15,5,4,0,6,11,5,429.8690457349162,360.0,10
1,4,5,4,9,6,0,5,11,206.14483112597475,360.0,10
1,5,4,9,20,0,6,11,5,267.4742068148327,360.0,9
1,6,9,20,12,0,5,5,0,319.61305952748035,300.0,9
1,7,20,12,11,8,0,0,8,209.40239087023852,480.0,12
1,8,12,11,17,0,8,8,0,175.93989087825662,480.0,9
1,9,11,17,19,6,0,0,6,308.5164732137675,360.0,10
1,10,17,19,0,0,6,6,0,182.12861341371297,360.0,10
